language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6961240310077521,0.7741379310344828,0.6323943661971831,0.7776223892234444,0.10465116279069768
en,fold_2,raw_text,0.6633499170812605,0.7352941176470589,0.6042296072507553,0.7605443648263014,0.0935672514619883
en,fold_3,raw_text,0.6835043409629046,0.7063621533442088,0.6620795107033639,0.7793156174206475,0.09941520467836257
fr,fold_1,raw_text,0.4999999999999999,0.5730994152046783,0.4434389140271493,0.6736298654457222,0.014285714285714285
fr,fold_2,raw_text,0.5027932960893855,0.6040268456375839,0.430622009569378,0.6770490073787228,0.11428571428571428
fr,fold_3,raw_text,0.5102639296187683,0.6214285714285714,0.43283582089552236,0.6830005081778998,0.08450704225352113
ge,fold_1,raw_text,0.5578231292517006,0.640625,0.4939759036144578,0.6871959240775929,0.01694915254237288
ge,fold_2,raw_text,0.5627705627705628,0.6190476190476191,0.5158730158730159,0.6882500967866821,0.03389830508474576
ge,fold_3,raw_text,0.5541666666666667,0.6273584905660378,0.4962686567164179,0.6755240342405618,0.017241379310344827
it,fold_1,raw_text,0.5344827586206896,0.6118421052631579,0.4744897959183674,0.6795149566675985,0.0594059405940594
it,fold_2,raw_text,0.5199409158050221,0.6132404181184669,0.4512820512820513,0.6714418068910256,0.04950495049504951
it,fold_3,raw_text,0.5487256371814093,0.6267123287671232,0.488,0.6915457170356112,0.10891089108910891
po,fold_1,raw_text,0.542314335060449,0.5587188612099644,0.5268456375838926,0.6621156292494627,0.03076923076923077
po,fold_2,raw_text,0.6132075471698114,0.6210191082802548,0.6055900621118012,0.7016045548654245,0.046153846153846156
po,fold_3,raw_text,0.6255924170616114,0.6827586206896552,0.577259475218659,0.7054470974646639,0.0
ru,fold_1,raw_text,0.23529411764705885,0.4482758620689655,0.15950920245398773,0.5575014718806794,0.015873015873015872
ru,fold_2,raw_text,0.03592814371257485,0.6,0.018518518518518517,0.5078968614390958,0.03125
ru,fold_3,raw_text,0.16129032258064516,0.35714285714285715,0.10416666666666667,0.5341312056737588,0.03125
