language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6976421636615812,0.6871584699453552,0.7084507042253522,0.7867930788500141,0.09883720930232558
en,fold_2,title_and_10_sentences,0.652931854199683,0.6866666666666666,0.622356495468278,0.7569057304131228,0.05847953216374269
en,fold_3,title_and_10_sentences,0.6597938144329897,0.6363636363636364,0.6850152905198776,0.7689444268691342,0.03508771929824561
fr,fold_1,title_and_10_sentences,0.47500000000000003,0.5307262569832403,0.4298642533936652,0.6595961583173859,0.04285714285714286
fr,fold_2,title_and_10_sentences,0.47645429362880887,0.5657894736842105,0.41148325358851673,0.6629400703740248,0.07142857142857142
fr,fold_3,title_and_10_sentences,0.510028653295129,0.6013513513513513,0.4427860696517413,0.6841925304122515,0.08450704225352113
ge,fold_1,title_and_10_sentences,0.5766129032258064,0.5789473684210527,0.5742971887550201,0.6970272772197977,0.05084745762711865
ge,fold_2,title_and_10_sentences,0.5299145299145299,0.5740740740740741,0.49206349206349204,0.6658923732094464,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.5362903225806452,0.5833333333333334,0.4962686567164179,0.6608181518876208,0.0
it,fold_1,title_and_10_sentences,0.5350993377483444,0.5564738292011019,0.5153061224489796,0.6788859379368186,0.009900990099009901
it,fold_2,title_and_10_sentences,0.4985915492957746,0.553125,0.45384615384615384,0.6570988581730769,0.039603960396039604
it,fold_3,title_and_10_sentences,0.5118881118881119,0.538235294117647,0.488,0.668446583253128,0.04950495049504951
po,fold_1,title_and_10_sentences,0.5657492354740061,0.5196629213483146,0.6208053691275168,0.6706968022108173,0.0
po,fold_2,title_and_10_sentences,0.5797101449275363,0.6020066889632107,0.5590062111801242,0.6783126293995859,0.1076923076923077
po,fold_3,title_and_10_sentences,0.5990783410138248,0.6331168831168831,0.5685131195335277,0.6820865778499465,0.0
ru,fold_1,title_and_10_sentences,0.11518324607329843,0.39285714285714285,0.06748466257668712,0.5219203563231142,0.015873015873015872
ru,fold_2,title_and_10_sentences,0.0670391061452514,0.35294117647058826,0.037037037037037035,0.5110253305076193,0.015625
ru,fold_3,title_and_10_sentences,0.2233009708737864,0.3709677419354839,0.1597222222222222,0.5539302600472814,0.015625
