language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6661514683153014,0.738013698630137,0.6070422535211267,0.7584681232269944,0.06395348837209303
en,fold_2,title,0.6040688575899845,0.6266233766233766,0.5830815709969789,0.7251435568610761,0.04678362573099415
en,fold_3,title,0.6212970376301041,0.6521008403361345,0.5932721712538226,0.7371533270062217,0.07602339181286549
fr,fold_1,title,0.4591029023746702,0.5506329113924051,0.3936651583710407,0.6500605106743214,0.05714285714285714
fr,fold_2,title,0.4191919191919192,0.44385026737967914,0.39712918660287083,0.6311197165180373,0.02857142857142857
fr,fold_3,title,0.31754874651810583,0.36075949367088606,0.2835820895522388,0.578108825356195,0.014084507042253521
ge,fold_1,title,0.4814814814814815,0.4936708860759494,0.46987951807228917,0.6309536238541689,0.01694915254237288
ge,fold_2,title,0.5000000000000001,0.5040322580645161,0.49603174603174605,0.6408730158730159,0.0
ge,fold_3,title,0.4385245901639344,0.4863636363636364,0.39925373134328357,0.5957665715539947,0.0
it,fold_1,title,0.40294117647058825,0.4756944444444444,0.3494897959183674,0.600870142577579,0.0
it,fold_2,title,0.4392265193370166,0.47604790419161674,0.4076923076923077,0.6183969350961538,0.019801980198019802
it,fold_3,title,0.39939485627836613,0.46153846153846156,0.352,0.6018902791145331,0.0297029702970297
po,fold_1,title,0.47987117552334946,0.4613003095975232,0.5,0.6078431372549019,0.0
po,fold_2,title,0.4840182648401826,0.4746268656716418,0.4937888198757764,0.5972345459923101,0.0
po,fold_3,title,0.5016722408026756,0.5882352941176471,0.43731778425655976,0.6237221832675205,0.0
ru,fold_1,title,0.22040816326530613,0.32926829268292684,0.1656441717791411,0.5445745198255928,0.047619047619047616
ru,fold_2,title,0.07486631016042782,0.28,0.043209876543209874,0.5093433578901335,0.0
ru,fold_3,title,0.1800947867298578,0.2835820895522388,0.13194444444444445,0.5340573286052009,0.015625
