language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7064150943396227,0.7609756097560976,0.6591549295774648,0.7862912457074603,0.09883720930232558
en,fold_2,raw_text,0.7077175697865352,0.7751798561151079,0.6510574018126888,0.789443250559924,0.11695906432748537
en,fold_3,raw_text,0.684596577017115,0.7329842931937173,0.6422018348623854,0.7771354001898134,0.11695906432748537
fr,fold_1,raw_text,0.5240641711229946,0.6405228758169934,0.4434389140271493,0.6854875729556036,0.08571428571428572
fr,fold_2,raw_text,0.5310734463276836,0.6482758620689655,0.44976076555023925,0.6918064528140302,0.14285714285714285
fr,fold_3,raw_text,0.5861182519280205,0.6063829787234043,0.5671641791044776,0.7369238297792249,0.04225352112676056
ge,fold_1,raw_text,0.6550976138828634,0.7122641509433962,0.606425702811245,0.7503532326881182,0.11864406779661017
ge,fold_2,raw_text,0.6363636363636365,0.7,0.5833333333333334,0.7367886178861789,0.05084745762711865
ge,fold_3,raw_text,0.6148409893992934,0.5838926174496645,0.6492537313432836,0.7106562774363476,0.034482758620689655
it,fold_1,raw_text,0.5982658959537572,0.69,0.5280612244897959,0.718531590718479,0.10891089108910891
it,fold_2,raw_text,0.5426136363636364,0.60828025477707,0.4897435897435897,0.6848132011217949,0.0594059405940594
it,fold_3,raw_text,0.5872801082543979,0.5961538461538461,0.5786666666666667,0.7185922361244786,0.0594059405940594
po,fold_1,raw_text,0.6449399656946827,0.6596491228070176,0.6308724832214765,0.7361878755976664,0.09230769230769231
po,fold_2,raw_text,0.6521106259097526,0.6136986301369863,0.6956521739130435,0.7279281277728482,0.06153846153846154
po,fold_3,raw_text,0.6967213114754098,0.6555269922879178,0.7434402332361516,0.7505627929291065,0.0625
ru,fold_1,raw_text,0.5190839694656488,0.6868686868686869,0.4171779141104294,0.6870312380009728,0.2222222222222222
ru,fold_2,raw_text,0.5140845070422535,0.5983606557377049,0.4506172839506173,0.6919298953813032,0.171875
ru,fold_3,raw_text,0.547945205479452,0.5405405405405406,0.5555555555555556,0.732565011820331,0.109375
