language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.728236184708554,0.7872340425531915,0.6774647887323944,0.8004520645664327,0.12209302325581395
en,fold_2,title_and_10_sentences,0.6979757085020243,0.7521815008726004,0.6510574018126888,0.7845356293128108,0.1111111111111111
en,fold_3,title_and_10_sentences,0.7005559968228753,0.7289256198347107,0.6743119266055045,0.7900295265211431,0.1111111111111111
fr,fold_1,title_and_10_sentences,0.5637254901960784,0.6149732620320856,0.5203619909502263,0.7127501654355874,0.07142857142857142
fr,fold_2,title_and_10_sentences,0.5663265306122449,0.6065573770491803,0.5311004784688995,0.7188576322305588,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.6157760814249363,0.6302083333333334,0.6019900497512438,0.756228316174487,0.15492957746478872
ge,fold_1,title_and_10_sentences,0.6325167037861915,0.71,0.570281124497992,0.734880596911041,0.1016949152542373
ge,fold_2,title_and_10_sentences,0.6477024070021883,0.7219512195121951,0.5873015873015873,0.7439992257065429,0.05084745762711865
ge,fold_3,title_and_10_sentences,0.6408163265306123,0.7072072072072072,0.585820895522388,0.7331678007023704,0.13793103448275862
it,fold_1,title_and_10_sentences,0.6101694915254237,0.6835443037974683,0.5510204081632653,0.7265865250209673,0.09900990099009901
it,fold_2,title_and_10_sentences,0.5504087193460492,0.5872093023255814,0.517948717948718,0.6896384214743589,0.04950495049504951
it,fold_3,title_and_10_sentences,0.6005747126436782,0.6510903426791277,0.5573333333333333,0.7247686878408726,0.06930693069306931
po,fold_1,title_and_10_sentences,0.6474576271186441,0.6541095890410958,0.6409395973154363,0.737953458788437,0.1076923076923077
po,fold_2,title_and_10_sentences,0.6258064516129032,0.6510067114093959,0.6024844720496895,0.712806861875185,0.06153846153846154
po,fold_3,title_and_10_sentences,0.6801872074882995,0.7315436241610739,0.6355685131195336,0.7454515259991882,0.03125
ru,fold_1,title_and_10_sentences,0.5478547854785479,0.5928571428571429,0.50920245398773,0.7149628403457426,0.2222222222222222
ru,fold_2,title_and_10_sentences,0.5374149659863946,0.5984848484848485,0.4876543209876543,0.7077236182594947,0.140625
ru,fold_3,title_and_10_sentences,0.5536332179930796,0.5517241379310345,0.5555555555555556,0.7345596926713948,0.0625
