language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7058823529411764,0.7488151658767772,0.6676056338028169,0.7869830289155427,0.10465116279069768
en,fold_2,title_and_first_sentence_each_paragraph,0.7168073676132004,0.7285491419656787,0.7054380664652568,0.8024880863504114,0.08771929824561403
en,fold_3,title_and_first_sentence_each_paragraph,0.6985413290113452,0.743103448275862,0.6590214067278287,0.7866946114098915,0.1286549707602339
fr,fold_1,title_and_first_sentence_each_paragraph,0.5653206650831354,0.595,0.5384615384615384,0.7158710854363027,0.11428571428571428
fr,fold_2,title_and_first_sentence_each_paragraph,0.5852417302798982,0.625,0.5502392344497608,0.7303725355128182,0.17142857142857143
fr,fold_3,title_and_first_sentence_each_paragraph,0.586734693877551,0.6020942408376964,0.572139303482587,0.7381503579203603,0.07042253521126761
ge,fold_1,title_and_first_sentence_each_paragraph,0.6417582417582418,0.7087378640776699,0.5863453815261044,0.7411796231720643,0.1016949152542373
ge,fold_2,title_and_first_sentence_each_paragraph,0.6616822429906543,0.6254416961130742,0.7023809523809523,0.758855981416957,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.6370967741935485,0.6929824561403509,0.5895522388059702,0.7304378841088675,0.08620689655172414
it,fold_1,title_and_first_sentence_each_paragraph,0.576551724137931,0.6276276276276276,0.5331632653061225,0.7059162706178362,0.1188118811881188
it,fold_2,title_and_first_sentence_each_paragraph,0.5619412515964239,0.5597964376590331,0.5641025641025641,0.697578625801282,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.5793304221251818,0.6378205128205128,0.5306666666666666,0.7109541225537375,0.06930693069306931
po,fold_1,title_and_first_sentence_each_paragraph,0.6411149825783973,0.6666666666666666,0.6174496644295302,0.7335614335219546,0.09230769230769231
po,fold_2,title_and_first_sentence_each_paragraph,0.646795827123696,0.6217765042979942,0.6739130434782609,0.7247116237799467,0.03076923076923077
po,fold_3,title_and_first_sentence_each_paragraph,0.6772655007949127,0.7447552447552448,0.6209912536443148,0.7444920101856295,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.4844290657439447,0.5555555555555556,0.4294478527607362,0.675780950024318,0.1111111111111111
ru,fold_2,title_and_first_sentence_each_paragraph,0.5088339222614842,0.5950413223140496,0.4444444444444444,0.6888434756282167,0.109375
ru,fold_3,title_and_first_sentence_each_paragraph,0.5555555555555556,0.5952380952380952,0.5208333333333334,0.7265070921985817,0.15625
