language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,EleutherAI-gpt-neo-1.3B,0.63 $\pm$ nan,0.67 $\pm$ nan,0.68 $\pm$ nan,0.67 $\pm$ nan,0.67 $\pm$ nan,0
en,EleutherAI-gpt-neo-125M,0.55 $\pm$ nan,0.59 $\pm$ nan,0.61 $\pm$ nan,0.61 $\pm$ nan,0.64 $\pm$ nan,0.66 $\pm$ nan
en,bert-base-multilingual-cased,0.62 $\pm$ nan,0.69 $\pm$ nan,0.70 $\pm$ nan,0.68 $\pm$ nan,0.68 $\pm$ nan,0.66 $\pm$ nan
en,distilbert-base-multilingual-cased,0.61 $\pm$ nan,0.66 $\pm$ nan,0.67 $\pm$ nan,0.66 $\pm$ nan,0.67 $\pm$ nan,0.66 $\pm$ nan
en,facebook-mbart-large-50,0.66 $\pm$ nan,**0.71 $\pm$ nan**,0.69 $\pm$ nan,0.70 $\pm$ nan,0.70 $\pm$ nan,0.67 $\pm$ nan
en,gpt2,0.62 $\pm$ nan,0.69 $\pm$ nan,0.67 $\pm$ nan,0.66 $\pm$ nan,0.69 $\pm$ nan,0.68 $\pm$ nan
en,xlm-roberta-large,0.65 $\pm$ nan,0.70 $\pm$ nan,**0.71 $\pm$ nan**,0.70 $\pm$ nan,0.69 $\pm$ nan,0.69 $\pm$ nan
fr,EleutherAI-gpt-neo-1.3B,0.45 $\pm$ nan,0.46 $\pm$ nan,0.48 $\pm$ nan,0.50 $\pm$ nan,0.54 $\pm$ nan,0
fr,EleutherAI-gpt-neo-125M,0.29 $\pm$ nan,0.39 $\pm$ nan,0.37 $\pm$ nan,0.39 $\pm$ nan,0.40 $\pm$ nan,0.50 $\pm$ nan
fr,bert-base-multilingual-cased,0.45 $\pm$ nan,0.51 $\pm$ nan,0.53 $\pm$ nan,0.54 $\pm$ nan,0.59 $\pm$ nan,0.57 $\pm$ nan
fr,distilbert-base-multilingual-cased,0.39 $\pm$ nan,0.49 $\pm$ nan,0.57 $\pm$ nan,0.53 $\pm$ nan,0.51 $\pm$ nan,0.55 $\pm$ nan
fr,facebook-mbart-large-50,0.50 $\pm$ nan,0.54 $\pm$ nan,0.56 $\pm$ nan,0.55 $\pm$ nan,0.59 $\pm$ nan,0.60 $\pm$ nan
fr,gpt2,0.32 $\pm$ nan,0.43 $\pm$ nan,0.45 $\pm$ nan,0.51 $\pm$ nan,0.52 $\pm$ nan,0.51 $\pm$ nan
fr,xlm-roberta-large,0.50 $\pm$ nan,0.57 $\pm$ nan,0.58 $\pm$ nan,**0.62 $\pm$ nan**,0.58 $\pm$ nan,0.57 $\pm$ nan
ge,EleutherAI-gpt-neo-1.3B,0.47 $\pm$ nan,0.53 $\pm$ nan,0.54 $\pm$ nan,0.58 $\pm$ nan,0.58 $\pm$ nan,0
ge,EleutherAI-gpt-neo-125M,0.38 $\pm$ nan,0.45 $\pm$ nan,0.48 $\pm$ nan,0.50 $\pm$ nan,0.47 $\pm$ nan,0.56 $\pm$ nan
ge,bert-base-multilingual-cased,0.51 $\pm$ nan,0.58 $\pm$ nan,0.61 $\pm$ nan,0.62 $\pm$ nan,0.59 $\pm$ nan,0.60 $\pm$ nan
ge,distilbert-base-multilingual-cased,0.48 $\pm$ nan,0.57 $\pm$ nan,0.58 $\pm$ nan,0.62 $\pm$ nan,0.58 $\pm$ nan,0.58 $\pm$ nan
ge,facebook-mbart-large-50,0.54 $\pm$ nan,0.61 $\pm$ nan,0.59 $\pm$ nan,0.63 $\pm$ nan,**0.66 $\pm$ nan**,**0.66 $\pm$ nan**
ge,gpt2,0.44 $\pm$ nan,0.47 $\pm$ nan,0.50 $\pm$ nan,0.54 $\pm$ nan,0.52 $\pm$ nan,0.55 $\pm$ nan
ge,xlm-roberta-large,0.56 $\pm$ nan,0.61 $\pm$ nan,0.61 $\pm$ nan,0.64 $\pm$ nan,0.63 $\pm$ nan,0.63 $\pm$ nan
it,EleutherAI-gpt-neo-1.3B,0.43 $\pm$ nan,0.45 $\pm$ nan,0.52 $\pm$ nan,0.53 $\pm$ nan,0.55 $\pm$ nan,0
it,EleutherAI-gpt-neo-125M,0.38 $\pm$ nan,0.42 $\pm$ nan,0.45 $\pm$ nan,0.45 $\pm$ nan,0.52 $\pm$ nan,0.49 $\pm$ nan
