language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6951310861423221,0.7424,0.6535211267605634,0.7793518472436504,0.05813953488372093
en,fold_2,title_and_first_paragraph,0.6721177432542926,0.732620320855615,0.620845921450151,0.7671204203093711,0.07602339181286549
en,fold_3,title_and_first_paragraph,0.6820049301561216,0.7371225577264654,0.6345565749235474,0.7747495518295898,0.08771929824561403
fr,fold_1,title_and_first_paragraph,0.5478036175710594,0.6385542168674698,0.4796380090497738,0.7002933128252822,0.05714285714285714
fr,fold_2,title_and_first_paragraph,0.5057471264367815,0.6330935251798561,0.42105263157894735,0.6774523858283842,0.1
fr,fold_3,title_and_first_paragraph,0.5645161290322579,0.6140350877192983,0.5223880597014925,0.7195799062694095,0.11267605633802817
ge,fold_1,title_and_first_paragraph,0.5570175438596491,0.6135265700483091,0.5100401606425703,0.6856959901999681,0.1016949152542373
ge,fold_2,title_and_first_paragraph,0.5800865800865801,0.638095238095238,0.5317460317460317,0.6996709252806814,0.03389830508474576
ge,fold_3,title_and_first_paragraph,0.5962732919254659,0.6697674418604651,0.5373134328358209,0.7033993634767339,0.08620689655172414
it,fold_1,title_and_first_paragraph,0.5767045454545454,0.6506410256410257,0.5178571428571429,0.7056017612524462,0.0891089108910891
it,fold_2,title_and_first_paragraph,0.48286140089418783,0.5765124555160143,0.4153846153846154,0.6495868389423077,0.039603960396039604
it,fold_3,title_and_first_paragraph,0.5083207261724659,0.5874125874125874,0.448,0.6672146294513955,0.0594059405940594
po,fold_1,title_and_first_paragraph,0.5530434782608696,0.5740072202166066,0.5335570469798657,0.670373294731763,0.03076923076923077
po,fold_2,title_and_first_paragraph,0.5880398671096344,0.6321428571428571,0.5496894409937888,0.687259686483289,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.609715242881072,0.7165354330708661,0.5306122448979592,0.7002066649444588,0.03125
ru,fold_1,title_and_first_paragraph,0.5172413793103449,0.5905511811023622,0.4601226993865031,0.6939000145054908,0.15873015873015872
ru,fold_2,title_and_first_paragraph,0.4411764705882353,0.5454545454545454,0.37037037037037035,0.6511252396810979,0.09375
ru,fold_3,title_and_first_paragraph,0.432,0.5094339622641509,0.375,0.6529255319148937,0.09375
