language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7106283941039566,0.7910189982728842,0.6450704225352113,0.7869050581462864,0.11627906976744186
en,fold_2,title_and_first_sentence_each_paragraph,0.6835650040883074,0.7450980392156863,0.6314199395770392,0.7744282145922148,0.08771929824561403
en,fold_3,title_and_first_sentence_each_paragraph,0.6780766096169518,0.7260034904013961,0.636085626911315,0.7729278709269218,0.10526315789473684
fr,fold_1,title_and_first_sentence_each_paragraph,0.5380434782608695,0.673469387755102,0.4479638009049774,0.692361347092805,0.11428571428571428
fr,fold_2,title_and_first_sentence_each_paragraph,0.5669291338582677,0.627906976744186,0.5167464114832536,0.7168686661826126,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5837837837837838,0.6390532544378699,0.5373134328358209,0.7301951779563721,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.6094420600858369,0.6543778801843319,0.570281124497992,0.7201492277602611,0.0847457627118644
ge,fold_2,title_and_first_sentence_each_paragraph,0.5895196506550219,0.6553398058252428,0.5357142857142857,0.7060104529616724,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.6228813559322033,0.7205882352941176,0.5485074626865671,0.7218640254609306,0.1206896551724138
it,fold_1,title_and_first_sentence_each_paragraph,0.5884016973125885,0.6603174603174603,0.5306122448979592,0.7129577858540677,0.09900990099009901
it,fold_2,title_and_first_sentence_each_paragraph,0.5131195335276968,0.5945945945945946,0.4512820512820513,0.6670472756410256,0.0594059405940594
it,fold_3,title_and_first_sentence_each_paragraph,0.5774436090225564,0.6620689655172414,0.512,0.7088392685274303,0.06930693069306931
po,fold_1,title_and_first_sentence_each_paragraph,0.6187845303867404,0.6857142857142857,0.5637583892617449,0.7189706978988464,0.06153846153846154
po,fold_2,title_and_first_sentence_each_paragraph,0.6457990115321253,0.6877192982456141,0.6086956521739131,0.728667553978113,0.07692307692307693
po,fold_3,title_and_first_sentence_each_paragraph,0.6469565217391304,0.8017241379310345,0.5422740524781341,0.7295457061667343,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.47509578544061304,0.6326530612244898,0.3803680981595092,0.665149278565151,0.15873015873015872
ru,fold_2,title_and_first_sentence_each_paragraph,0.4964028776978418,0.5948275862068966,0.42592592592592593,0.6809466141891211,0.09375
ru,fold_3,title_and_first_sentence_each_paragraph,0.49372384937238495,0.6210526315789474,0.4097222222222222,0.6809249408983452,0.09375
