language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6553846153846153,0.7220338983050848,0.6,0.7517078916372203,0.06395348837209303
en,fold_2,title,0.6226259289843105,0.6867030965391621,0.5694864048338368,0.735089622740244,0.07602339181286549
en,fold_3,title,0.6436213991769548,0.696969696969697,0.5978593272171254,0.7500790888959191,0.08771929824561403
fr,fold_1,title,0.5105263157894737,0.610062893081761,0.43891402714932126,0.6786137988184023,0.08571428571428572
fr,fold_2,title,0.4726224783861671,0.5942028985507246,0.3923444976076555,0.6598557766896904,0.11428571428571428
fr,fold_3,title,0.4734042553191489,0.5085714285714286,0.4427860696517413,0.667168570765341,0.04225352112676056
ge,fold_1,title,0.42156862745098045,0.5408805031446541,0.3453815261044177,0.609432530816507,0.06779661016949153
ge,fold_2,title,0.5078651685393258,0.5854922279792746,0.44841269841269843,0.6545199380565234,0.01694915254237288
ge,fold_3,title,0.515695067264574,0.6460674157303371,0.4291044776119403,0.6566478270412643,0.05172413793103448
it,fold_1,title,0.5137085137085137,0.5913621262458472,0.45408163265306123,0.6668646910819122,0.0594059405940594
it,fold_2,title,0.44827586206896547,0.5766129032258065,0.36666666666666664,0.6320638020833333,0.04950495049504951
it,fold_3,title,0.4588607594936709,0.5642023346303502,0.38666666666666666,0.6394353545075393,0.0594059405940594
po,fold_1,title,0.4833948339483395,0.5368852459016393,0.4395973154362416,0.6274783962802123,0.046153846153846156
po,fold_2,title,0.5398981324278438,0.5955056179775281,0.4937888198757764,0.6550576752440107,0.046153846153846156
po,fold_3,title,0.5171790235081374,0.680952380952381,0.41690962099125367,0.6478761486511422,0.03125
ru,fold_1,title,0.4626334519572953,0.5508474576271186,0.3987730061349693,0.6625297575876515,0.1111111111111111
ru,fold_2,title,0.358974358974359,0.44144144144144143,0.30246913580246915,0.6090002354761664,0.046875
ru,fold_3,title,0.3643724696356275,0.4368932038834951,0.3125,0.617686170212766,0.0625
