language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.7012012012012013,0.7508038585209004,0.6577464788732394,0.7832313077522852,0.09302325581395349
en,fold_2,title_and_5_sentences,0.6742857142857143,0.7335701598579041,0.6238670694864048,0.7686309943274982,0.11695906432748537
en,fold_3,title_and_5_sentences,0.6810631229235881,0.7454545454545455,0.6269113149847095,0.7732257724348836,0.12280701754385964
fr,fold_1,title_and_5_sentences,0.5431472081218274,0.6184971098265896,0.4841628959276018,0.6986031870942357,0.04285714285714286
fr,fold_2,title_and_5_sentences,0.5055555555555555,0.6026490066225165,0.4354066985645933,0.6787928434457208,0.11428571428571428
fr,fold_3,title_and_5_sentences,0.544959128065395,0.6024096385542169,0.4975124378109453,0.7071420953241359,0.08450704225352113
ge,fold_1,title_and_5_sentences,0.6175115207373272,0.7243243243243244,0.5381526104417671,0.7248821977685439,0.06779661016949153
ge,fold_2,title_and_5_sentences,0.5792811839323467,0.6199095022624435,0.5436507936507936,0.6986546651180796,0.0
ge,fold_3,title_and_5_sentences,0.5870020964360587,0.6698564593301436,0.5223880597014925,0.6977749122036875,0.10344827586206896
it,fold_1,title_and_5_sentences,0.5589519650655022,0.6508474576271186,0.4897959183673469,0.6945065697511882,0.12871287128712872
it,fold_2,title_and_5_sentences,0.5382513661202186,0.5760233918128655,0.5051282051282051,0.6817633213141026,0.06930693069306931
it,fold_3,title_and_5_sentences,0.5595054095826894,0.6654411764705882,0.4826666666666667,0.6975412255373757,0.09900990099009901
po,fold_1,title_and_5_sentences,0.5954198473282443,0.6902654867256637,0.5234899328859061,0.7045554239592928,0.07692307692307693
po,fold_2,title_and_5_sentences,0.6123076923076922,0.6067073170731707,0.6180124223602484,0.6993123336291038,0.06153846153846154
po,fold_3,title_and_5_sentences,0.6239460370994941,0.74,0.5393586005830904,0.710908956711075,0.03125
ru,fold_1,title_and_5_sentences,0.5704225352112676,0.6694214876033058,0.49693251533742333,0.7206498459858188,0.14285714285714285
ru,fold_2,title_and_5_sentences,0.4788732394366197,0.5573770491803278,0.41975308641975306,0.6730918020654625,0.078125
ru,fold_3,title_and_5_sentences,0.4556962025316456,0.5806451612903226,0.375,0.6615691489361702,0.09375
