language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6950354609929077,0.7889087656529516,0.6211267605633802,0.7758166193865192,0.13953488372093023
en,fold_2,title_and_10_sentences,0.6507666098807495,0.74609375,0.5770392749244713,0.7509907691019585,0.07602339181286549
en,fold_3,title_and_10_sentences,0.689419795221843,0.7799227799227799,0.617737003058104,0.7761098808393968,0.1286549707602339
fr,fold_1,title_and_10_sentences,0.43988269794721413,0.625,0.3393665158371041,0.6400389891438486,0.07142857142857142
fr,fold_2,title_and_10_sentences,0.5172413793103449,0.6474820143884892,0.430622009569378,0.6835340916848187,0.1
fr,fold_3,title_and_10_sentences,0.48929663608562696,0.6349206349206349,0.39800995024875624,0.6700011920222343,0.07042253521126761
ge,fold_1,title_and_10_sentences,0.5450121654501217,0.691358024691358,0.4497991967871486,0.681572042067751,0.06779661016949153
ge,fold_2,title_and_10_sentences,0.6114942528735632,0.726775956284153,0.5277777777777778,0.7203348819202477,0.1016949152542373
ge,fold_3,title_and_10_sentences,0.5619469026548672,0.6902173913043478,0.47388059701492535,0.6845505926251098,0.08620689655172414
it,fold_1,title_and_10_sentences,0.5271317829457364,0.6719367588932806,0.4336734693877551,0.6762300810735252,0.0594059405940594
it,fold_2,title_and_10_sentences,0.4847512038523275,0.648068669527897,0.3871794871794872,0.6535506810897436,0.04950495049504951
it,fold_3,title_and_10_sentences,0.5362776025236593,0.6563706563706564,0.4533333333333333,0.6838370227783125,0.09900990099009901
po,fold_1,title_and_10_sentences,0.574585635359116,0.636734693877551,0.5234899328859061,0.6890325481422993,0.06153846153846154
po,fold_2,title_and_10_sentences,0.5781512605042017,0.63003663003663,0.5341614906832298,0.6811963916001182,0.03076923076923077
po,fold_3,title_and_10_sentences,0.6161971830985916,0.7777777777777778,0.5102040816326531,0.7098940842159649,0.015625
ru,fold_1,title_and_10_sentences,0.35684647302904565,0.5512820512820513,0.26380368098159507,0.6075624802682662,0.07936507936507936
ru,fold_2,title_and_10_sentences,0.3968253968253968,0.5555555555555556,0.30864197530864196,0.6270730312510513,0.125
ru,fold_3,title_and_10_sentences,0.37442922374429216,0.5466666666666666,0.2847222222222222,0.6197547281323877,0.0625
