language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.6217788861180382,0.7586206896551724,0.5267605633802817,0.7283390567195872,0.06976744186046512
en,fold_2,title_and_5_sentences,0.6174496644295302,0.6943396226415094,0.5558912386706949,0.7311788756863868,0.03508771929824561
en,fold_3,title_and_5_sentences,0.6127659574468086,0.690978886756238,0.5504587155963303,0.7289649899820733,0.07602339181286549
fr,fold_1,title_and_5_sentences,0.3829787234042553,0.5833333333333334,0.2850678733031674,0.6128896678768802,0.0
fr,fold_2,title_and_5_sentences,0.39285714285714285,0.5196850393700787,0.3157894736842105,0.6183357225749199,0.02857142857142857
fr,fold_3,title_and_5_sentences,0.4388888888888889,0.4968553459119497,0.39303482587064675,0.6460760510185516,0.028169014084507043
ge,fold_1,title_and_5_sentences,0.5068493150684932,0.5873015873015873,0.4457831325301205,0.655300578396776,0.01694915254237288
ge,fold_2,title_and_5_sentences,0.5382830626450116,0.6480446927374302,0.4603174603174603,0.6752806813782423,0.05084745762711865
ge,fold_3,title_and_5_sentences,0.5234042553191489,0.6089108910891089,0.458955223880597,0.6568673178226514,0.0
it,fold_1,title_and_5_sentences,0.4394904458598726,0.5847457627118644,0.3520408163265306,0.6280752026838132,0.019801980198019802
it,fold_2,title_and_5_sentences,0.38940809968847356,0.49603174603174605,0.32051282051282054,0.5982446915064102,0.0594059405940594
it,fold_3,title_and_5_sentences,0.43809523809523804,0.5411764705882353,0.368,0.6276958614051972,0.0297029702970297
po,fold_1,title_and_5_sentences,0.5265017667844523,0.5559701492537313,0.5,0.6527777777777779,0.0
po,fold_2,title_and_5_sentences,0.5281090289608177,0.5849056603773585,0.4813664596273292,0.6471458148476782,0.046153846153846156
po,fold_3,title_and_5_sentences,0.559463986599665,0.65748031496063,0.4868804664723032,0.6647783887515223,0.015625
ru,fold_1,title_and_5_sentences,0.16243654822335027,0.47058823529411764,0.09815950920245399,0.5365623693439252,0.047619047619047616
ru,fold_2,title_and_5_sentences,0.22429906542056077,0.46153846153846156,0.14814814814814814,0.5550005045917852,0.078125
ru,fold_3,title_and_5_sentences,0.20657276995305165,0.3188405797101449,0.1527777777777778,0.5451388888888888,0.046875
