language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.5987261146496815,0.6886446886446886,0.5295774647887324,0.7147298395792895,0.040697674418604654
en,fold_2,title_and_first_paragraph,0.5977212971078001,0.7118997912317327,0.5151057401812689,0.7177145329081863,0.04678362573099415
en,fold_3,title_and_first_paragraph,0.5650372825186413,0.6166365280289331,0.5214067278287462,0.6997838236844881,0.06432748538011696
fr,fold_1,title_and_first_paragraph,0.3663663663663664,0.5446428571428571,0.27601809954751133,0.6044122118290916,0.04285714285714286
fr,fold_2,title_and_first_paragraph,0.3625,0.5225225225225225,0.27751196172248804,0.6043850340389353,0.014285714285714285
fr,fold_3,title_and_first_paragraph,0.3739376770538244,0.4342105263157895,0.3283582089552239,0.6099546404170824,0.04225352112676056
ge,fold_1,title_and_first_paragraph,0.463963963963964,0.5282051282051282,0.41365461847389556,0.6271046055974331,0.06779661016949153
ge,fold_2,title_and_first_paragraph,0.48499999999999993,0.6554054054054054,0.38492063492063494,0.6480352303523035,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.48559670781893005,0.5412844036697247,0.44029850746268656,0.628237489025461,0.017241379310344827
it,fold_1,title_and_first_paragraph,0.4106583072100313,0.532520325203252,0.33418367346938777,0.6108296058149286,0.0297029702970297
it,fold_2,title_and_first_paragraph,0.34608985024958405,0.4928909952606635,0.26666666666666666,0.5810872395833333,0.019801980198019802
it,fold_3,title_and_first_paragraph,0.3746130030959752,0.44649446494464945,0.32266666666666666,0.5891485402630734,0.009900990099009901
po,fold_1,title_and_first_paragraph,0.46712802768166095,0.48214285714285715,0.45302013422818793,0.6080460148265122,0.03076923076923077
po,fold_2,title_and_first_paragraph,0.48398576512455516,0.5666666666666667,0.422360248447205,0.6227447500739427,0.03076923076923077
po,fold_3,title_and_first_paragraph,0.5201238390092878,0.5544554455445545,0.4897959183673469,0.622836476362697,0.015625
ru,fold_1,title_and_first_paragraph,0.23478260869565215,0.40298507462686567,0.1656441717791411,0.5550056742066776,0.047619047619047616
ru,fold_2,title_and_first_paragraph,0.1844660194174757,0.4318181818181818,0.11728395061728394,0.5416120025565984,0.015625
ru,fold_3,title_and_first_paragraph,0.2181818181818182,0.3157894736842105,0.16666666666666666,0.548758865248227,0.03125
