language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7126611068991661,0.7717569786535303,0.6619718309859155,0.7900554090147481,0.09883720930232558
en,fold_2,title_and_10_sentences,0.6855295068714632,0.7373913043478261,0.6404833836858006,0.7766504678244246,0.10526315789473684
en,fold_3,title_and_10_sentences,0.6898839137645107,0.7536231884057971,0.636085626911315,0.7789623536855425,0.11695906432748537
fr,fold_1,title_and_10_sentences,0.5414634146341463,0.5873015873015873,0.502262443438914,0.6997478225099709,0.04285714285714286
fr,fold_2,title_and_10_sentences,0.5879265091863518,0.6511627906976745,0.5358851674641149,0.7290320778954817,0.12857142857142856
fr,fold_3,title_and_10_sentences,0.5736842105263157,0.6089385474860335,0.5422885572139303,0.7270080869297898,0.08450704225352113
ge,fold_1,title_and_10_sentences,0.6167023554603853,0.6605504587155964,0.5783132530120482,0.7250318431438056,0.1016949152542373
ge,fold_2,title_and_10_sentences,0.6244725738396624,0.6666666666666666,0.5873015873015873,0.7291908633372048,0.0847457627118644
ge,fold_3,title_and_10_sentences,0.6119096509240247,0.680365296803653,0.5559701492537313,0.7136468393327481,0.08620689655172414
it,fold_1,title_and_10_sentences,0.5624103299856528,0.6426229508196721,0.5,0.6966731898238748,0.04950495049504951
it,fold_2,title_and_10_sentences,0.5131034482758621,0.5552238805970149,0.47692307692307695,0.6657076322115385,0.06930693069306931
it,fold_3,title_and_10_sentences,0.5718654434250765,0.6702508960573477,0.49866666666666665,0.7050599935835739,0.09900990099009901
po,fold_1,title_and_10_sentences,0.6030664395229982,0.6124567474048442,0.5939597315436241,0.7054765977979558,0.09230769230769231
po,fold_2,title_and_10_sentences,0.635483870967742,0.6610738255033557,0.6118012422360248,0.7200162673765158,0.046153846153846156
po,fold_3,title_and_10_sentences,0.6044905008635579,0.7415254237288136,0.5102040816326531,0.6999483337638853,0.046875
ru,fold_1,title_and_10_sentences,0.4835164835164835,0.6,0.4049079754601227,0.6718559348788791,0.1746031746031746
ru,fold_2,title_and_10_sentences,0.5211267605633803,0.6065573770491803,0.4567901234567901,0.6956975140444713,0.125
ru,fold_3,title_and_10_sentences,0.5099601593625499,0.5981308411214953,0.4444444444444444,0.6936317966903074,0.109375
