language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6842513576415826,0.7616580310880829,0.6211267605633802,0.7699273378788632,0.06395348837209303
en,fold_2,title_and_first_paragraph,0.6644125105663568,0.7543186180422264,0.5936555891238671,0.7598762934071991,0.09941520467836257
en,fold_3,title_and_first_paragraph,0.676973148901546,0.7234782608695652,0.636085626911315,0.7723531582832437,0.10526315789473684
fr,fold_1,title_and_first_paragraph,0.5159574468085107,0.6258064516129033,0.43891402714932126,0.6812488449317095,0.05714285714285714
fr,fold_2,title_and_first_paragraph,0.47619047619047616,0.5743243243243243,0.40669856459330145,0.6624932511682461,0.07142857142857142
fr,fold_3,title_and_first_paragraph,0.5260273972602739,0.5853658536585366,0.47761194029850745,0.6959308125199979,0.07042253521126761
ge,fold_1,title_and_first_paragraph,0.5803571428571429,0.6532663316582915,0.5220883534136547,0.7012521489771913,0.06779661016949153
ge,fold_2,title_and_first_paragraph,0.5862068965517241,0.6415094339622641,0.5396825396825397,0.7036391792489353,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.588235294117647,0.6198347107438017,0.5597014925373134,0.6952919227392449,0.05172413793103448
it,fold_1,title_and_first_paragraph,0.5568181818181818,0.6282051282051282,0.5,0.6932485322896281,0.04950495049504951
it,fold_2,title_and_first_paragraph,0.4948148148148148,0.5859649122807018,0.4282051282051282,0.6564853766025641,0.04950495049504951
it,fold_3,title_and_first_paragraph,0.5137085137085137,0.559748427672956,0.4746666666666667,0.6699608598010909,0.0891089108910891
po,fold_1,title_and_first_paragraph,0.5749128919860627,0.5978260869565217,0.5536912751677853,0.6861593630740886,0.046153846153846156
po,fold_2,title_and_first_paragraph,0.5858585858585859,0.6397058823529411,0.5403726708074534,0.6868530020703933,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.6086956521739131,0.6798561151079137,0.5510204081632653,0.6950400413329889,0.03125
ru,fold_1,title_and_first_paragraph,0.4492753623188406,0.5486725663716814,0.3803680981595092,0.6547181241840662,0.1111111111111111
ru,fold_2,title_and_first_paragraph,0.46494464944649444,0.5779816513761468,0.3888888888888889,0.6631092945806842,0.09375
ru,fold_3,title_and_first_paragraph,0.48221343873517786,0.5596330275229358,0.4236111111111111,0.6798906619385343,0.078125
