language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.7130833970925785,0.7805695142378559,0.6563380281690141,0.7895942202093599,0.12790697674418605
en,fold_2,title_and_5_sentences,0.6969943135662063,0.7539543057996485,0.648036253776435,0.7836024225002268,0.09941520467836257
en,fold_3,title_and_5_sentences,0.7060728744939271,0.7504302925989673,0.6666666666666666,0.7916666666666666,0.13450292397660818
fr,fold_1,title_and_5_sentences,0.5368421052631579,0.6415094339622641,0.46153846153846156,0.6932198236546063,0.05714285714285714
fr,fold_2,title_and_5_sentences,0.5782493368700264,0.6488095238095238,0.5215311004784688,0.7225035528332682,0.07142857142857142
fr,fold_3,title_and_5_sentences,0.5735294117647058,0.5652173913043478,0.582089552238806,0.7342982439630348,0.08450704225352113
ge,fold_1,title_and_5_sentences,0.6196581196581197,0.6621004566210046,0.5823293172690763,0.7270398752723198,0.11864406779661017
ge,fold_2,title_and_5_sentences,0.6100217864923747,0.6763285024154589,0.5555555555555556,0.7194154084397987,0.05084745762711865
ge,fold_3,title_and_5_sentences,0.5915492957746479,0.6419213973799127,0.5485074626865671,0.69888608428446,0.034482758620689655
it,fold_1,title_and_5_sentences,0.5555555555555555,0.6506849315068494,0.4846938775510204,0.6924447861336315,0.09900990099009901
it,fold_2,title_and_5_sentences,0.5164992826398853,0.5863192182410424,0.46153846153846156,0.6687575120192308,0.0297029702970297
it,fold_3,title_and_5_sentences,0.5605633802816902,0.5940298507462687,0.5306666666666666,0.6998857876162977,0.0594059405940594
po,fold_1,title_and_5_sentences,0.6126760563380282,0.6444444444444445,0.5838926174496645,0.7135149361758125,0.09230769230769231
po,fold_2,title_and_5_sentences,0.6241379310344828,0.7015503875968992,0.562111801242236,0.7155797101449275,0.06153846153846154
po,fold_3,title_and_5_sentences,0.6382306477093206,0.696551724137931,0.5889212827988338,0.7148946377827803,0.0625
ru,fold_1,title_and_5_sentences,0.539568345323741,0.6521739130434783,0.4601226993865031,0.7022449380103586,0.20634920634920634
ru,fold_2,title_and_5_sentences,0.5,0.6052631578947368,0.42592592592592593,0.6823090120092846,0.140625
ru,fold_3,title_and_5_sentences,0.49624060150375937,0.5409836065573771,0.4583333333333333,0.6919326241134751,0.046875
