language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6630686198920586,0.7325383304940375,0.6056338028169014,0.7565860415733506,0.05232558139534884
en,fold_2,title_and_10_sentences,0.6631892697466468,0.6544117647058824,0.6722054380664653,0.7682620723819624,0.07017543859649122
en,fold_3,title_and_10_sentences,0.6661596958174906,0.6626323751891074,0.6697247706422018,0.770781925550986,0.09941520467836257
fr,fold_1,title_and_10_sentences,0.44675324675324685,0.524390243902439,0.3891402714932127,0.6431867365371202,0.04285714285714286
fr,fold_2,title_and_10_sentences,0.45938375350140054,0.5540540540540541,0.3923444976076555,0.6533706923835944,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.4886363636363636,0.5695364238410596,0.42786069651741293,0.6729467417013295,0.08450704225352113
ge,fold_1,title_and_10_sentences,0.5550847457627119,0.5874439461883408,0.5261044176706827,0.6833295051958266,0.05084745762711865
ge,fold_2,title_and_10_sentences,0.5701149425287356,0.6775956284153005,0.49206349206349204,0.6946380178087495,0.01694915254237288
ge,fold_3,title_and_10_sentences,0.5170340681362726,0.5584415584415584,0.48134328358208955,0.6469216417910448,0.017241379310344827
it,fold_1,title_and_10_sentences,0.5266106442577031,0.5838509316770186,0.47959183673469385,0.6742381884260553,0.019801980198019802
it,fold_2,title_and_10_sentences,0.4883720930232558,0.5637583892617449,0.4307692307692308,0.6519080528846154,0.0297029702970297
it,fold_3,title_and_10_sentences,0.5123966942148761,0.5299145299145299,0.496,0.6685967276227142,0.04950495049504951
po,fold_1,title_and_10_sentences,0.5533333333333335,0.5496688741721855,0.5570469798657718,0.6674123788217747,0.046153846153846156
po,fold_2,title_and_10_sentences,0.5664939550949915,0.6381322957198443,0.5093167701863354,0.6755767524401064,0.046153846153846156
po,fold_3,title_and_10_sentences,0.5953488372093024,0.6357615894039735,0.5597667638483965,0.6804258774034025,0.046875
ru,fold_1,title_and_10_sentences,0.11282051282051281,0.34375,0.06748466257668712,0.5191387151548248,0.015873015873015872
ru,fold_2,title_and_10_sentences,0.0851063829787234,0.3076923076923077,0.04938271604938271,0.51242977764322,0.03125
ru,fold_3,title_and_10_sentences,0.18536585365853658,0.3114754098360656,0.13194444444444445,0.5380466903073287,0.015625
