language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.6692913385826771,0.7589285714285714,0.5985915492957746,0.7595431244712088,0.09883720930232558
en,fold_2,title_and_5_sentences,0.6392092257001648,0.7028985507246377,0.5861027190332326,0.7457072486621128,0.06432748538011696
en,fold_3,title_and_5_sentences,0.6712683347713547,0.7702970297029703,0.5948012232415902,0.7640672782874618,0.12280701754385964
fr,fold_1,title_and_5_sentences,0.4739583333333333,0.558282208588957,0.4117647058823529,0.6584515229016507,0.02857142857142857
fr,fold_2,title_and_5_sentences,0.5145888594164456,0.5773809523809523,0.46411483253588515,0.6860133176946611,0.08571428571428572
fr,fold_3,title_and_5_sentences,0.49710982658959535,0.593103448275862,0.42786069651741293,0.6767298438450873,0.11267605633802817
ge,fold_1,title_and_5_sentences,0.572052401746725,0.6267942583732058,0.5261044176706827,0.6954612209670571,0.05084745762711865
ge,fold_2,title_and_5_sentences,0.6004415011037527,0.6766169154228856,0.5396825396825397,0.7132210607820364,0.03389830508474576
ge,fold_3,title_and_5_sentences,0.53125,0.6611111111111111,0.44402985074626866,0.6659487489025461,0.034482758620689655
it,fold_1,title_and_5_sentences,0.5511363636363636,0.6217948717948718,0.49489795918367346,0.6897190383002516,0.0594059405940594
it,fold_2,title_and_5_sentences,0.4595375722543353,0.5264900662251656,0.4076923076923077,0.6340219350961538,0.04950495049504951
it,fold_3,title_and_5_sentences,0.5224111282843896,0.6213235294117647,0.45066666666666666,0.675766442091755,0.06930693069306931
po,fold_1,title_and_5_sentences,0.5857885615251299,0.6057347670250897,0.5671140939597316,0.6936877659341142,0.07692307692307693
po,fold_2,title_and_5_sentences,0.6006600660066006,0.6408450704225352,0.5652173913043478,0.6958740017746228,0.015384615384615385
po,fold_3,title_and_5_sentences,0.635483870967742,0.7111913357400722,0.5743440233236151,0.7148392811012289,0.078125
ru,fold_1,title_and_5_sentences,0.3293172690763052,0.47674418604651164,0.25153374233128833,0.5944734080223896,0.09523809523809523
ru,fold_2,title_and_5_sentences,0.3950617283950617,0.5925925925925926,0.2962962962962963,0.6256685841154505,0.125
ru,fold_3,title_and_5_sentences,0.412280701754386,0.5595238095238095,0.3263888888888889,0.6385933806146572,0.140625
