language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6866396761133603,0.8076190476190476,0.5971830985915493,0.7688506776821116,0.12209302325581395
en,fold_2,title_and_first_paragraph,0.6515151515151515,0.7357414448669202,0.5845921450151057,0.7521690517223334,0.07602339181286549
en,fold_3,title_and_first_paragraph,0.6694490818030051,0.7371323529411765,0.6131498470948012,0.7654829695244122,0.1111111111111111
fr,fold_1,title_and_first_paragraph,0.4342507645259939,0.6698113207547169,0.3212669683257919,0.6375768306714599,0.07142857142857142
fr,fold_2,title_and_first_paragraph,0.5294117647058824,0.6870229007633588,0.430622009569378,0.6887221591296955,0.07142857142857142
fr,fold_3,title_and_first_paragraph,0.49112426035502965,0.6058394160583942,0.4129353233830846,0.6724197423977214,0.056338028169014086
ge,fold_1,title_and_first_paragraph,0.5644768856447687,0.7160493827160493,0.46586345381526106,0.6930703750878732,0.1016949152542373
ge,fold_2,title_and_first_paragraph,0.5517241379310345,0.6557377049180327,0.47619047619047616,0.6832171893147504,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.5375,0.6084905660377359,0.48134328358208955,0.6643848770851625,0.0
it,fold_1,title_and_first_paragraph,0.5220125786163522,0.680327868852459,0.42346938775510207,0.673574224210232,0.0594059405940594
it,fold_2,title_and_first_paragraph,0.44660194174757284,0.6052631578947368,0.35384615384615387,0.632977764423077,0.04950495049504951
it,fold_3,title_and_first_paragraph,0.4826498422712933,0.5907335907335908,0.408,0.6529894128970164,0.0891089108910891
po,fold_1,title_and_first_paragraph,0.4961832061068703,0.5752212389380531,0.436241610738255,0.6396894328201078,0.046153846153846156
po,fold_2,title_and_first_paragraph,0.5672131147540982,0.6006944444444444,0.5372670807453416,0.6708444247264123,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.5585284280936456,0.6549019607843137,0.4868804664723032,0.663874229619515,0.03125
ru,fold_1,title_and_first_paragraph,0.3076923076923077,0.7111111111111111,0.19631901840490798,0.5891191754055137,0.06349206349206349
ru,fold_2,title_and_first_paragraph,0.2616822429906542,0.5384615384615384,0.1728395061728395,0.5700709792444578,0.09375
ru,fold_3,title_and_first_paragraph,0.27649769585253453,0.410958904109589,0.20833333333333334,0.5755762411347517,0.078125
