language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6900958466453674,0.7970479704797048,0.6084507042253521,0.7718343038205677,0.12790697674418605
en,fold_2,title_and_first_sentence_each_paragraph,0.6621392190152802,0.7558139534883721,0.5891238670694864,0.7581877995855515,0.09941520467836257
en,fold_3,title_and_first_sentence_each_paragraph,0.6638297872340425,0.7485604606525912,0.5963302752293578,0.7605214594537594,0.07602339181286549
fr,fold_1,title_and_first_sentence_each_paragraph,0.45930232558139533,0.6422764227642277,0.3574660633484163,0.6497475244278313,0.08571428571428572
fr,fold_2,title_and_first_sentence_each_paragraph,0.5454545454545454,0.6428571428571429,0.47368421052631576,0.70117414157963,0.1
fr,fold_3,title_and_first_sentence_each_paragraph,0.4899135446685879,0.5821917808219178,0.4228855721393035,0.6729812476081133,0.08450704225352113
ge,fold_1,title_and_first_sentence_each_paragraph,0.5617433414043583,0.7073170731707317,0.46586345381526106,0.6913372728348403,0.0847457627118644
ge,fold_2,title_and_first_sentence_each_paragraph,0.5609195402298851,0.6666666666666666,0.48412698412698413,0.6889276035617499,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.5653104925053533,0.6633165829145728,0.4925373134328358,0.6846877743634766,0.017241379310344827
it,fold_1,title_and_first_sentence_each_paragraph,0.5064102564102564,0.6810344827586207,0.4030612244897959,0.6653270897400057,0.04950495049504951
it,fold_2,title_and_first_sentence_each_paragraph,0.46913580246913583,0.5891472868217055,0.38974358974358975,0.6431139823717948,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5422647527910686,0.6746031746031746,0.4533333333333333,0.6872056464549245,0.0891089108910891
po,fold_1,title_and_first_sentence_each_paragraph,0.5893536121673003,0.6798245614035088,0.5201342281879194,0.7004265912181427,0.06153846153846154
po,fold_2,title_and_first_sentence_each_paragraph,0.6017094017094017,0.6692015209125475,0.546583850931677,0.6993123336291038,0.06153846153846154
po,fold_3,title_and_first_sentence_each_paragraph,0.6387959866220735,0.7490196078431373,0.5568513119533528,0.7205594715282135,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.37606837606837606,0.6197183098591549,0.26993865030674846,0.6161932472674215,0.14285714285714285
ru,fold_2,title_and_first_sentence_each_paragraph,0.35593220338983045,0.5675675675675675,0.25925925925925924,0.6078312645070139,0.125
ru,fold_3,title_and_first_sentence_each_paragraph,0.3817427385892116,0.4742268041237113,0.3194444444444444,0.6258126477541371,0.015625
