language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6298342541436464,0.7163375224416517,0.5619718309859155,0.7344605915824748,0.06395348837209303
en,fold_2,title_and_first_sentence_each_paragraph,0.6170568561872909,0.6910112359550562,0.5574018126888217,0.7310681118871359,0.08187134502923976
en,fold_3,title_and_first_sentence_each_paragraph,0.6228143213988343,0.6837294332723949,0.5718654434250765,0.7362200780343773,0.06432748538011696
fr,fold_1,title_and_first_sentence_each_paragraph,0.39247311827956993,0.48344370860927155,0.33031674208144796,0.6137749718312379,0.04285714285714286
fr,fold_2,title_and_first_sentence_each_paragraph,0.45142857142857146,0.5602836879432624,0.37799043062200954,0.6487876926132097,0.07142857142857142
fr,fold_3,title_and_first_sentence_each_paragraph,0.4061538461538461,0.532258064516129,0.3283582089552239,0.6276091170879525,0.04225352112676056
ge,fold_1,title_and_first_sentence_each_paragraph,0.49209932279909707,0.5618556701030928,0.43775100401606426,0.6452186562541327,0.03389830508474576
ge,fold_2,title_and_first_sentence_each_paragraph,0.5446428571428572,0.6224489795918368,0.48412698412698413,0.6776035617499032,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.47472527472527476,0.5775401069518716,0.40298507462686567,0.6288822431957857,0.017241379310344827
it,fold_1,title_and_first_sentence_each_paragraph,0.4053651266766021,0.4874551971326165,0.3469387755102041,0.6035085266983505,0.019801980198019802
it,fold_2,title_and_first_sentence_each_paragraph,0.4396284829721362,0.5546875,0.3641025641025641,0.626387219551282,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.4365482233502538,0.5972222222222222,0.344,0.6301328200192492,0.039603960396039604
po,fold_1,title_and_first_sentence_each_paragraph,0.5313653136531366,0.5901639344262295,0.48322147651006714,0.6599113918498049,0.015384615384615385
po,fold_2,title_and_first_sentence_each_paragraph,0.5705128205128205,0.5894039735099338,0.5527950310559007,0.670955338657202,0.015384615384615385
po,fold_3,title_and_first_sentence_each_paragraph,0.5113043478260869,0.6336206896551724,0.42857142857142855,0.6374321880650995,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.23045267489711935,0.35,0.17177914110429449,0.5497282353643864,0.0
ru,fold_2,title_and_first_sentence_each_paragraph,0.21551724137931033,0.35714285714285715,0.15432098765432098,0.5465065428734821,0.03125
ru,fold_3,title_and_first_sentence_each_paragraph,0.19266055045871558,0.28378378378378377,0.14583333333333334,0.537677304964539,0.03125
