language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.714828897338403,0.7768595041322314,0.6619718309859155,0.7912332653162792,0.0872093023255814
en,fold_2,raw_text,0.6909693454846727,0.7651376146788991,0.6299093655589124,0.7780031816247218,0.08771929824561403
en,fold_3,raw_text,0.6892109500805154,0.7278911564625851,0.654434250764526,0.7812401138880102,0.12280701754385964
fr,fold_1,raw_text,0.5680751173708921,0.5902439024390244,0.5475113122171946,0.7184196877291507,0.04285714285714286
fr,fold_2,raw_text,0.5797872340425532,0.6526946107784432,0.5215311004784688,0.7231520612638778,0.14285714285714285
fr,fold_3,raw_text,0.5626598465473146,0.5789473684210527,0.5472636815920398,0.7231904788792481,0.07042253521126761
ge,fold_1,raw_text,0.6102449888641426,0.685,0.5502008032128514,0.7205076806358884,0.1016949152542373
ge,fold_2,raw_text,0.6220302375809935,0.6824644549763034,0.5714285714285714,0.7273519163763066,0.06779661016949153
ge,fold_3,raw_text,0.6404715127701376,0.6763485477178424,0.6082089552238806,0.7324133011413522,0.10344827586206896
it,fold_1,raw_text,0.5840220385674931,0.6347305389221557,0.5408163265306123,0.7107212748112944,0.06930693069306931
it,fold_2,raw_text,0.5464949928469242,0.6181229773462783,0.4897435897435897,0.6872546073717949,0.0891089108910891
it,fold_3,raw_text,0.5962373371924746,0.6518987341772152,0.5493333333333333,0.721731151748476,0.0891089108910891
po,fold_1,raw_text,0.6557971014492754,0.7125984251968503,0.6073825503355704,0.7440507522919682,0.06153846153846154
po,fold_2,raw_text,0.6383701188455009,0.704119850187266,0.5838509316770186,0.72474859509021,0.09230769230769231
po,fold_3,raw_text,0.6688417618270799,0.7592592592592593,0.597667638483965,0.7400634756615123,0.078125
ru,fold_1,raw_text,0.5547445255474452,0.6846846846846847,0.4662576687116564,0.708789474133297,0.20634920634920634
ru,fold_2,raw_text,0.5289855072463768,0.6403508771929824,0.4506172839506173,0.6973794866619571,0.15625
ru,fold_3,raw_text,0.5743944636678201,0.5724137931034483,0.5763888888888888,0.7469710401891253,0.09375
