language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7036474164133739,0.764026402640264,0.652112676056338,0.7839479752484281,0.11627906976744186
en,fold_2,title_and_first_sentence_each_paragraph,0.6750629722921915,0.7599243856332704,0.6072507552870091,0.7669625600915414,0.0935672514619883
en,fold_3,title_and_first_sentence_each_paragraph,0.6892109500805154,0.7278911564625851,0.654434250764526,0.7812401138880102,0.09941520467836257
fr,fold_1,title_and_first_sentence_each_paragraph,0.539440203562341,0.6162790697674418,0.4796380090497738,0.6963407436553218,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.6005221932114881,0.6609195402298851,0.5502392344497608,0.7368576198189142,0.11428571428571428
fr,fold_3,title_and_first_sentence_each_paragraph,0.5474860335195529,0.6242038216560509,0.48756218905472637,0.706580590113744,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.6103896103896105,0.6619718309859155,0.5662650602409639,0.7207408490112964,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.6069868995633187,0.6747572815533981,0.5515873015873016,0.7174312814556717,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.636182902584493,0.6808510638297872,0.5970149253731343,0.7295736391571553,0.06896551724137931
it,fold_1,title_and_first_sentence_each_paragraph,0.6090534979423868,0.658753709198813,0.5663265306122449,0.7269010343863572,0.07920792079207921
it,fold_2,title_and_first_sentence_each_paragraph,0.5318559556786703,0.5783132530120482,0.49230769230769234,0.6777944711538462,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.5555555555555556,0.6593406593406593,0.48,0.6952454282964389,0.06930693069306931
po,fold_1,title_and_first_sentence_each_paragraph,0.6608695652173913,0.6859205776173285,0.6375838926174496,0.7477135149361758,0.1076923076923077
po,fold_2,title_and_first_sentence_each_paragraph,0.6138279932546374,0.6715867158671587,0.5652173913043478,0.7069284235433303,0.07692307692307693
po,fold_3,title_and_first_sentence_each_paragraph,0.6370839936608557,0.6979166666666666,0.5860058309037901,0.7143410709672657,0.015625
ru,fold_1,title_and_first_sentence_each_paragraph,0.5270758122743682,0.6403508771929824,0.44785276073619634,0.6954145583931329,0.2222222222222222
ru,fold_2,title_and_first_sentence_each_paragraph,0.5429553264604811,0.6124031007751938,0.4876543209876543,0.7097672149897399,0.171875
ru,fold_3,title_and_first_sentence_each_paragraph,0.5426356589147286,0.6140350877192983,0.4861111111111111,0.7138002364066193,0.140625
