language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6929621036349574,0.7684391080617495,0.6309859154929578,0.7757403075698005,0.11627906976744186
en,fold_2,title_and_10_sentences,0.676923076923077,0.7294938917975567,0.6314199395770392,0.7709640113589584,0.1111111111111111
en,fold_3,title_and_10_sentences,0.6730923694779116,0.7089678510998308,0.6406727828746177,0.770911104080987,0.0935672514619883
fr,fold_1,title_and_10_sentences,0.5398457583547558,0.625,0.4751131221719457,0.6960545848013879,0.05714285714285714
fr,fold_2,title_and_10_sentences,0.5217391304347825,0.6037735849056604,0.45933014354066987,0.6888090406419303,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.5380434782608695,0.592814371257485,0.4925373134328358,0.703393499087162,0.056338028169014086
ge,fold_1,title_and_10_sentences,0.5777777777777777,0.6467661691542289,0.5220883534136547,0.6995190467241584,0.1016949152542373
ge,fold_2,title_and_10_sentences,0.5815899581589958,0.6150442477876106,0.5515873015873016,0.7000096786682153,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.6153846153846154,0.72,0.5373134328358209,0.7171861281826164,0.05172413793103448
it,fold_1,title_and_10_sentences,0.5657708628005659,0.6349206349206349,0.5102040816326531,0.6988398098965612,0.06930693069306931
it,fold_2,title_and_10_sentences,0.49925261584454406,0.5985663082437276,0.4282051282051282,0.6594150641025641,0.0594059405940594
it,fold_3,title_and_10_sentences,0.5327510917030567,0.5865384615384616,0.488,0.6819210779595766,0.039603960396039604
po,fold_1,title_and_10_sentences,0.5882352941176471,0.6071428571428571,0.5704697986577181,0.6953656182831074,0.046153846153846156
po,fold_2,title_and_10_sentences,0.6063651591289784,0.6581818181818182,0.562111801242236,0.7011239278320023,0.046153846153846156
po,fold_3,title_and_10_sentences,0.6559999999999999,0.7269503546099291,0.597667638483965,0.7292135660774256,0.03125
ru,fold_1,title_and_10_sentences,0.5037037037037038,0.6355140186915887,0.4171779141104294,0.6814679556643942,0.14285714285714285
ru,fold_2,title_and_10_sentences,0.46616541353383456,0.5961538461538461,0.38271604938271603,0.6627476704679248,0.09375
ru,fold_3,title_and_10_sentences,0.5239852398523984,0.5590551181102362,0.4930555555555556,0.7092937352245863,0.09375
