language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6624505928853754,0.7549549549549549,0.5901408450704225,0.7550233082831499,0.0872093023255814
en,fold_2,title_and_first_paragraph,0.6390728476821192,0.706959706959707,0.5830815709969789,0.7453514090550715,0.06432748538011696
en,fold_3,title_and_first_paragraph,0.6436583261432269,0.7386138613861386,0.5703363914373089,0.7472371612358958,0.09941520467836257
fr,fold_1,title_and_first_paragraph,0.5322997416020672,0.6204819277108434,0.4660633484162896,0.6915296979235599,0.07142857142857142
fr,fold_2,title_and_first_paragraph,0.48517520215633425,0.5555555555555556,0.430622009569378,0.668618397780798,0.04285714285714286
fr,fold_3,title_and_first_paragraph,0.5164835164835164,0.5766871165644172,0.46766169154228854,0.6903251711179286,0.08450704225352113
ge,fold_1,title_and_first_paragraph,0.5511111111111111,0.6169154228855721,0.4979919678714859,0.6822715471939752,0.05084745762711865
ge,fold_2,title_and_first_paragraph,0.5482456140350878,0.6127450980392157,0.49603174603174605,0.67920054200542,0.0
ge,fold_3,title_and_first_paragraph,0.5708502024291497,0.6238938053097345,0.5261194029850746,0.6849347014925373,0.034482758620689655
it,fold_1,title_and_first_paragraph,0.5602165087956699,0.5965417867435159,0.5280612244897959,0.6955374615599663,0.0297029702970297
it,fold_2,title_and_first_paragraph,0.42878560719640174,0.516245487364621,0.36666666666666664,0.6179036458333333,0.0297029702970297
it,fold_3,title_and_first_paragraph,0.5070821529745042,0.540785498489426,0.47733333333333333,0.6655194096888033,0.0297029702970297
po,fold_1,title_and_first_paragraph,0.5451327433628319,0.5767790262172284,0.5167785234899329,0.666069000307058,0.03076923076923077
po,fold_2,title_and_first_paragraph,0.5986842105263158,0.6363636363636364,0.5652173913043478,0.6941733215025141,0.07692307692307693
po,fold_3,title_and_first_paragraph,0.6092307692307692,0.6449511400651465,0.577259475218659,0.690076392220541,0.015625
ru,fold_1,title_and_first_paragraph,0.39357429718875503,0.5697674418604651,0.3006134969325153,0.6245765676595818,0.14285714285714285
ru,fold_2,title_and_first_paragraph,0.39166666666666666,0.6025641025641025,0.29012345679012347,0.6239445621825276,0.125
ru,fold_3,title_and_first_paragraph,0.3951612903225807,0.47115384615384615,0.3402777777777778,0.6335697399527187,0.0625
