language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7076923076923076,0.7796610169491526,0.647887323943662,0.7856633321720666,0.12209302325581395
en,fold_2,raw_text,0.7089013632718525,0.7555555555555555,0.6676737160120846,0.7925551028097374,0.09941520467836257
en,fold_3,raw_text,0.7036734693877551,0.7548161120840631,0.6590214067278287,0.7892808183064431,0.12280701754385964
fr,fold_1,raw_text,0.5979899497487438,0.672316384180791,0.5384615384615384,0.7310226005878179,0.08571428571428572
fr,fold_2,raw_text,0.6093750000000001,0.6685714285714286,0.5598086124401914,0.742290817244739,0.11428571428571428
fr,fold_3,raw_text,0.5789473684210525,0.6145251396648045,0.5472636815920398,0.7301261661428042,0.09859154929577464
ge,fold_1,raw_text,0.6561797752808989,0.7448979591836735,0.5863453815261044,0.749845134437229,0.11864406779661017
ge,fold_2,raw_text,0.6895074946466808,0.7488372093023256,0.6388888888888888,0.772406116918312,0.0847457627118644
ge,fold_3,raw_text,0.6813627254509018,0.7359307359307359,0.6343283582089553,0.7610980026338894,0.13793103448275862
it,fold_1,raw_text,0.6429587482219061,0.7266881028938906,0.576530612244898,0.7466801789208833,0.1188118811881188
it,fold_2,raw_text,0.6005291005291006,0.6202185792349727,0.5820512820512821,0.7231545472756411,0.039603960396039604
it,fold_3,raw_text,0.6598540145985402,0.7290322580645161,0.6026666666666667,0.7609098492139877,0.12871287128712872
po,fold_1,raw_text,0.6500888099467139,0.690566037735849,0.6140939597315436,0.7400535158134842,0.1076923076923077
po,fold_2,raw_text,0.6969205834683955,0.7288135593220338,0.6677018633540373,0.7658237207926649,0.12307692307692308
po,fold_3,raw_text,0.696875,0.7508417508417509,0.6501457725947521,0.7581651105288408,0.09375
ru,fold_1,raw_text,0.60431654676259,0.7304347826086957,0.5153374233128835,0.7361109926021998,0.19047619047619047
ru,fold_2,raw_text,0.5827814569536424,0.6285714285714286,0.5432098765432098,0.7361825949473543,0.171875
ru,fold_3,raw_text,0.606060606060606,0.6666666666666666,0.5555555555555556,0.7511820330969268,0.21875
