language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7192716236722306,0.7796052631578947,0.6676056338028169,0.7943446308001127,0.13372093023255813
en,fold_2,title_and_10_sentences,0.6944444444444444,0.7562277580071174,0.6419939577039275,0.7814473252722871,0.05263157894736842
en,fold_3,title_and_10_sentences,0.7026169706582077,0.729818780889621,0.6773700305810397,0.7915585785089106,0.08771929824561403
fr,fold_1,title_and_10_sentences,0.5662337662337663,0.6646341463414634,0.49321266968325794,0.710374450783658,0.08571428571428572
fr,fold_2,title_and_10_sentences,0.5978835978835979,0.6686390532544378,0.5406698564593302,0.7340184561155276,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.5721784776902886,0.6055555555555555,0.5422885572139303,0.7263775699058302,0.11267605633802817
ge,fold_1,title_and_10_sentences,0.6306306306306306,0.717948717948718,0.5622489959839357,0.7334641860335623,0.1016949152542373
ge,fold_2,title_and_10_sentences,0.6491228070175439,0.7254901960784313,0.5873015873015873,0.7448703058459156,0.0847457627118644
ge,fold_3,title_and_10_sentences,0.6555323590814196,0.7440758293838863,0.585820895522388,0.7432780948200175,0.08620689655172414
it,fold_1,title_and_10_sentences,0.5688888888888889,0.6784452296819788,0.4897959183673469,0.700377411238468,0.10891089108910891
it,fold_2,title_and_10_sentences,0.5126760563380282,0.56875,0.4666666666666667,0.6659505208333334,0.04950495049504951
it,fold_3,title_and_10_sentences,0.5961820851688693,0.6633986928104575,0.5413333333333333,0.7210997754250882,0.06930693069306931
po,fold_1,title_and_10_sentences,0.6446886446886447,0.7096774193548387,0.5906040268456376,0.7364784840110541,0.07692307692307693
po,fold_2,title_and_10_sentences,0.6350877192982456,0.7298387096774194,0.562111801242236,0.7240831115054718,0.09230769230769231
po,fold_3,title_and_10_sentences,0.6442953020134229,0.758893280632411,0.5597667638483965,0.724729674871757,0.046875
ru,fold_1,title_and_10_sentences,0.551470588235294,0.6880733944954128,0.4601226993865031,0.7064173997627926,0.25396825396825395
ru,fold_2,title_and_10_sentences,0.5285714285714286,0.6271186440677966,0.4567901234567901,0.6984223096847983,0.15625
ru,fold_3,title_and_10_sentences,0.5602836879432626,0.572463768115942,0.5486111111111112,0.7350768321513003,0.140625
