language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.7042471042471043,0.7794871794871795,0.6422535211267606,0.7831408948389986,0.0872093023255814
en,fold_2,title_and_first_paragraph,0.6829268292682928,0.7394366197183099,0.6344410876132931,0.7744953705964849,0.08771929824561403
en,fold_3,title_and_first_paragraph,0.7068403908794787,0.7560975609756098,0.6636085626911316,0.7915743962880945,0.1111111111111111
fr,fold_1,title_and_first_paragraph,0.5404040404040404,0.6114285714285714,0.4841628959276018,0.6972856640375823,0.04285714285714286
fr,fold_2,title_and_first_paragraph,0.5318559556786704,0.631578947368421,0.45933014354066987,0.6933485996561974,0.08571428571428572
fr,fold_3,title_and_first_paragraph,0.5666666666666667,0.6415094339622641,0.5074626865671642,0.7177918729178823,0.11267605633802817
ge,fold_1,title_and_first_paragraph,0.6035242290748899,0.6682926829268293,0.5502008032128514,0.716174925003306,0.1016949152542373
ge,fold_2,title_and_first_paragraph,0.570194384449244,0.6255924170616114,0.5238095238095238,0.6930894308943089,0.03389830508474576
ge,fold_3,title_and_first_paragraph,0.6137787056367432,0.6966824644549763,0.5485074626865671,0.7154302019315188,0.10344827586206896
it,fold_1,title_and_first_paragraph,0.5661375661375662,0.5879120879120879,0.5459183673469388,0.6995736650824713,0.0594059405940594
it,fold_2,title_and_first_paragraph,0.4918518518518518,0.5824561403508772,0.4256410256410256,0.6547150440705128,0.06930693069306931
it,fold_3,title_and_first_paragraph,0.56071964017991,0.6404109589041096,0.49866666666666665,0.6988039781841514,0.10891089108910891
po,fold_1,title_and_first_paragraph,0.5467889908256881,0.6032388663967612,0.5,0.6699346405228758,0.0
po,fold_2,title_and_first_paragraph,0.5921052631578947,0.6293706293706294,0.5590062111801242,0.6893670511682933,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.6308943089430894,0.7132352941176471,0.565597667638484,0.7122744215226777,0.03125
ru,fold_1,title_and_first_paragraph,0.508833922261484,0.6,0.44171779141104295,0.68747920168605,0.1746031746031746
ru,fold_2,title_and_first_paragraph,0.4964028776978418,0.5948275862068966,0.42592592592592593,0.6809466141891211,0.09375
ru,fold_3,title_and_first_paragraph,0.47808764940239046,0.5607476635514018,0.4166666666666667,0.6770833333333334,0.078125
