language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6702536510376633,0.7377326565143824,0.6140845070422535,0.7614003218367923,0.0755813953488372
en,fold_2,title,0.6486055776892431,0.6863406408094435,0.6148036253776435,0.7537066625733484,0.08187134502923976
en,fold_3,title,0.6462809917355372,0.7032374100719424,0.5978593272171254,0.7515158705051145,0.10526315789473684
fr,fold_1,title,0.5305039787798409,0.6410256410256411,0.45248868778280543,0.6893536983051051,0.08571428571428572
fr,fold_2,title,0.4908616187989556,0.5402298850574713,0.44976076555023925,0.6729997083263518,0.1
fr,fold_3,title,0.5390835579514824,0.5882352941176471,0.4975124378109453,0.7046200272282973,0.056338028169014086
ge,fold_1,title,0.5311004784688995,0.6568047337278107,0.4457831325301205,0.6726316009271053,0.05084745762711865
ge,fold_2,title,0.5690376569037657,0.6017699115044248,0.5396825396825397,0.6914440572977157,0.05084745762711865
ge,fold_3,title,0.49676025917926575,0.5897435897435898,0.4291044776119403,0.6410228270412642,0.034482758620689655
it,fold_1,title,0.5175438596491228,0.6061643835616438,0.45153061224489793,0.6695030752026838,0.0594059405940594
it,fold_2,title,0.4647058823529412,0.5448275862068965,0.40512820512820513,0.6381109775641026,0.0297029702970297
it,fold_3,title,0.49306625577812013,0.583941605839416,0.4266666666666667,0.6584728905999359,0.0594059405940594
po,fold_1,title,0.523972602739726,0.534965034965035,0.5134228187919463,0.648051278677019,0.03076923076923077
po,fold_2,title,0.5529801324503312,0.5921985815602837,0.5186335403726708,0.661527654540077,0.015384615384615385
po,fold_3,title,0.5590277777777777,0.6909871244635193,0.46938775510204084,0.6695944200464996,0.046875
ru,fold_1,title,0.4797047970479705,0.6018518518518519,0.3987730061349693,0.6694838605083747,0.15873015873015872
ru,fold_2,title,0.46643109540636035,0.5454545454545454,0.4074074074074074,0.6662377636492078,0.140625
ru,fold_3,title,0.3984375,0.45535714285714285,0.3541666666666667,0.6365248226950355,0.078125
