language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6874135546334716,0.6752717391304348,0.7,0.77962308598351,0.05813953488372093
en,fold_2,raw_text,0.6585887384176764,0.6234817813765182,0.6978851963746223,0.768399873014101,0.08187134502923976
en,fold_3,raw_text,0.6474313863476425,0.5997392438070405,0.7033639143730887,0.7634635663819467,0.05847953216374269
fr,fold_1,raw_text,0.48484848484848486,0.5485714285714286,0.4343891402714932,0.6651524093979337,0.04285714285714286
fr,fold_2,raw_text,0.5108695652173914,0.5911949685534591,0.44976076555023925,0.6827273347854956,0.1
fr,fold_3,raw_text,0.5235602094240837,0.5524861878453039,0.4975124378109453,0.6976843399647412,0.056338028169014086
ge,fold_1,raw_text,0.5392781316348196,0.5720720720720721,0.5100401606425703,0.6726977233022211,0.03389830508474576
ge,fold_2,raw_text,0.5833333333333334,0.6519607843137255,0.5277777777777778,0.7020421989934185,0.01694915254237288
ge,fold_3,raw_text,0.5042016806722689,0.5769230769230769,0.44776119402985076,0.6429982440737488,0.0
it,fold_1,raw_text,0.5459459459459459,0.5804597701149425,0.5153061224489796,0.6862244897959184,0.0594059405940594
it,fold_2,raw_text,0.5206611570247933,0.5625,0.4846153846153846,0.6705303485576923,0.039603960396039604
it,fold_3,raw_text,0.5321888412017168,0.5740740740740741,0.496,0.6815899903753609,0.0297029702970297
po,fold_1,raw_text,0.5738255033557047,0.5738255033557047,0.5738255033557047,0.6831545817432118,0.015384615384615385
po,fold_2,raw_text,0.580542264752791,0.5967213114754099,0.5652173913043478,0.67801685891748,0.03076923076923077
po,fold_3,raw_text,0.6073131955484896,0.6678321678321678,0.5568513119533528,0.6925305384359893,0.03125
ru,fold_1,raw_text,0.19354838709677422,0.3888888888888889,0.12883435582822086,0.5414686382757237,0.031746031746031744
ru,fold_2,raw_text,0.11822660098522167,0.2926829268292683,0.07407407407407407,0.5172822686446664,0.03125
ru,fold_3,raw_text,0.19004524886877827,0.2727272727272727,0.14583333333333334,0.5356826241134751,0.015625
