language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7094281298299846,0.785958904109589,0.6464788732394366,0.7864314271968679,0.12209302325581395
en,fold_2,raw_text,0.7005559968228752,0.7386934673366834,0.6661631419939577,0.7880469289646462,0.0935672514619883
en,fold_3,raw_text,0.6999208234362628,0.7257799671592775,0.6758409785932722,0.7899319835495098,0.08771929824561403
fr,fold_1,raw_text,0.5897435897435898,0.6804733727810651,0.5203619909502263,0.7246078729454688,0.1
fr,fold_2,raw_text,0.582089552238806,0.6062176165803109,0.5598086124401914,0.7306176654937662,0.1
fr,fold_3,raw_text,0.6040609137055838,0.616580310880829,0.5920398009950248,0.7493616407244985,0.11267605633802817
ge,fold_1,raw_text,0.6624472573839663,0.6977777777777778,0.6305220883534136,0.7563355675735872,0.11864406779661017
ge,fold_2,raw_text,0.6527196652719665,0.6902654867256637,0.6190476190476191,0.748548199767712,0.0847457627118644
ge,fold_3,raw_text,0.6535433070866141,0.6916666666666667,0.6194029850746269,0.7416867866549605,0.1206896551724138
it,fold_1,raw_text,0.6086956521739131,0.67601246105919,0.5535714285714286,0.7259050880626223,0.12871287128712872
it,fold_2,raw_text,0.5986577181208054,0.6281690140845071,0.5717948717948718,0.7214443108974358,0.0891089108910891
it,fold_3,raw_text,0.6478873239436619,0.6865671641791045,0.6133333333333333,0.7561373115174848,0.10891089108910891
po,fold_1,raw_text,0.6731391585760518,0.65,0.697986577181208,0.7574900206167478,0.1076923076923077
po,fold_2,raw_text,0.6655791190864601,0.7010309278350515,0.6335403726708074,0.7427905944986691,0.09230769230769231
po,fold_3,raw_text,0.7099697885196374,0.7366771159874608,0.685131195335277,0.7666162305790309,0.09375
ru,fold_1,raw_text,0.5639097744360902,0.7281553398058253,0.4601226993865031,0.7105898615152265,0.2222222222222222
ru,fold_2,raw_text,0.5412541254125413,0.5815602836879432,0.5061728395061729,0.7128956840582635,0.0625
ru,fold_3,raw_text,0.5347985347985348,0.5658914728682171,0.5069444444444444,0.7162381796690307,0.09375
