language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.727136431784108,0.7772435897435898,0.6830985915492958,0.8006187892964383,0.11046511627906977
en,fold_2,title_and_10_sentences,0.6987951807228916,0.7461406518010292,0.6570996978851964,0.7858246757324365,0.08771929824561403
en,fold_3,title_and_10_sentences,0.7054963084495488,0.7610619469026548,0.6574923547400612,0.7899530739217548,0.11695906432748537
fr,fold_1,title_and_10_sentences,0.5779816513761468,0.586046511627907,0.5701357466063348,0.726438097282087,0.05714285714285714
fr,fold_2,title_and_10_sentences,0.5594059405940596,0.5794871794871795,0.5406698564593302,0.7171572369196781,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.5903307888040713,0.6041666666666666,0.5771144278606966,0.7406379201094151,0.14084507042253522
ge,fold_1,title_and_10_sentences,0.6298568507157465,0.6416666666666667,0.6184738955823293,0.7347135509107489,0.1016949152542373
ge,fold_2,title_and_10_sentences,0.6583850931677019,0.6883116883116883,0.6309523809523809,0.7527584204413472,0.0847457627118644
ge,fold_3,title_and_10_sentences,0.6217821782178219,0.6624472573839663,0.585820895522388,0.7193810359964881,0.08620689655172414
it,fold_1,title_and_10_sentences,0.6095717884130982,0.6019900497512438,0.6173469387755102,0.7303955828906905,0.07920792079207921
it,fold_2,title_and_10_sentences,0.5672043010752689,0.596045197740113,0.541025641025641,0.7006886017628204,0.04950495049504951
it,fold_3,title_and_10_sentences,0.6040462427745665,0.6593059936908517,0.5573333333333333,0.7266936156560796,0.06930693069306931
po,fold_1,title_and_10_sentences,0.6397415185783522,0.616822429906542,0.6644295302013423,0.7317245690222398,0.09230769230769231
po,fold_2,title_and_10_sentences,0.6338259441707718,0.6724738675958188,0.5993788819875776,0.7197574682046731,0.046153846153846156
po,fold_3,title_and_10_sentences,0.6909667194928686,0.7569444444444444,0.6355685131195336,0.7544931173192605,0.0625
ru,fold_1,title_and_10_sentences,0.5906040268456376,0.6518518518518519,0.5398773006134969,0.7372543665793493,0.20634920634920634
ru,fold_2,title_and_10_sentences,0.5144694533762058,0.5369127516778524,0.49382716049382713,0.6999108554512733,0.09375
ru,fold_3,title_and_10_sentences,0.5734265734265734,0.5774647887323944,0.5694444444444444,0.7448286052009456,0.140625
