language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6880375293197811,0.773286467486819,0.6197183098591549,0.7718732892051958,0.0872093023255814
en,fold_2,title_and_first_paragraph,0.7009966777408638,0.7785977859778598,0.6374622356495468,0.7840890854922099,0.09941520467836257
en,fold_3,title_and_first_paragraph,0.7094220110847189,0.735632183908046,0.6850152905198776,0.7962432774438468,0.12280701754385964
fr,fold_1,title_and_first_paragraph,0.5641025641025641,0.650887573964497,0.497737556561086,0.7100018481092649,0.04285714285714286
fr,fold_2,title_and_first_paragraph,0.5274725274725275,0.6193548387096774,0.45933014354066987,0.6914030743643687,0.08571428571428572
fr,fold_3,title_and_first_paragraph,0.5879396984924623,0.5939086294416244,0.582089552238806,0.7406034142026314,0.11267605633802817
ge,fold_1,title_and_first_paragraph,0.6160714285714286,0.6934673366834171,0.5542168674698795,0.7242488150174354,0.0847457627118644
ge,fold_2,title_and_first_paragraph,0.5900900900900901,0.6822916666666666,0.5198412698412699,0.7067847464188928,0.0847457627118644
ge,fold_3,title_and_first_paragraph,0.6076923076923078,0.626984126984127,0.5895522388059702,0.7083790605794557,0.06896551724137931
it,fold_1,title_and_first_paragraph,0.5774647887323944,0.6446540880503144,0.5229591836734694,0.7061958344981829,0.09900990099009901
it,fold_2,title_and_first_paragraph,0.5177514792899409,0.6118881118881119,0.44871794871794873,0.6701597556089743,0.039603960396039604
it,fold_3,title_and_first_paragraph,0.5452127659574467,0.5437665782493368,0.5466666666666666,0.6905614372794353,0.0594059405940594
po,fold_1,title_and_first_paragraph,0.5704099821746881,0.6083650190114068,0.5369127516778524,0.6843060490415406,0.046153846153846156
po,fold_2,title_and_first_paragraph,0.5935919055649241,0.6494464944649446,0.546583850931677,0.6925096125406685,0.1076923076923077
po,fold_3,title_and_first_paragraph,0.6355685131195336,0.6355685131195336,0.6355685131195336,0.7047643650588626,0.046875
ru,fold_1,title_and_first_paragraph,0.5217391304347826,0.6371681415929203,0.44171779141104295,0.6923470737305564,0.19047619047619047
ru,fold_2,title_and_first_paragraph,0.45112781954887216,0.5769230769230769,0.37037037037037035,0.6552124331415884,0.125
ru,fold_3,title_and_first_paragraph,0.4842105263157895,0.48936170212765956,0.4791666666666667,0.6917109929078015,0.078125
