language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.71545929798357,0.7615262321144675,0.6746478873239437,0.7931543323545514,0.13953488372093023
en,fold_2,title_and_first_sentence_each_paragraph,0.7021110242376857,0.7277147487844409,0.6782477341389728,0.7906250218038975,0.09941520467836257
en,fold_3,title_and_first_sentence_each_paragraph,0.7026604068857589,0.719551282051282,0.6865443425076453,0.7929848149319837,0.11695906432748537
fr,fold_1,title_and_first_sentence_each_paragraph,0.5104166666666667,0.6012269938650306,0.4434389140271493,0.6788999576723362,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.5626477541371159,0.5560747663551402,0.569377990430622,0.7230806943073992,0.1
fr,fold_3,title_and_first_sentence_each_paragraph,0.5816326530612244,0.5968586387434555,0.5671641791044776,0.7350322787073459,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.6387665198237886,0.7073170731707317,0.5823293172690763,0.7391715910435503,0.11864406779661017
ge,fold_2,title_and_first_sentence_each_paragraph,0.6137787056367433,0.6475770925110133,0.5833333333333334,0.721980255516841,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.619047619047619,0.6610169491525424,0.582089552238806,0.7175153643546972,0.1206896551724138
it,fold_1,title_and_first_sentence_each_paragraph,0.5702127659574469,0.6421725239616614,0.5127551020408163,0.701583030472463,0.06930693069306931
it,fold_2,title_and_first_sentence_each_paragraph,0.5710691823899372,0.5604938271604938,0.5820512820512821,0.7041115785256411,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5847953216374269,0.6472491909385113,0.5333333333333333,0.7142123837022779,0.0891089108910891
po,fold_1,title_and_first_sentence_each_paragraph,0.6677908937605397,0.6711864406779661,0.6644295302013423,0.7529663990875992,0.09230769230769231
po,fold_2,title_and_first_sentence_each_paragraph,0.6625386996904025,0.6604938271604939,0.6645962732919255,0.7387607216799764,0.046153846153846156
po,fold_3,title_and_first_sentence_each_paragraph,0.6612641815235009,0.7445255474452555,0.5947521865889213,0.7340849540539544,0.078125
ru,fold_1,title_and_first_sentence_each_paragraph,0.5217391304347826,0.6371681415929203,0.44171779141104295,0.6923470737305564,0.15873015873015872
ru,fold_2,title_and_first_sentence_each_paragraph,0.5521885521885521,0.6074074074074074,0.5061728395061729,0.716982877518754,0.171875
ru,fold_3,title_and_first_sentence_each_paragraph,0.5694444444444444,0.5694444444444444,0.5694444444444444,0.7434988179669031,0.15625
