language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.669717772692601,0.7304492512479202,0.6183098591549295,0.7614517493654506,0.09883720930232558
en,fold_2,title,0.6687451286048324,0.6908212560386473,0.648036253776435,0.7685908751561159,0.08771929824561403
en,fold_3,title,0.6683291770573566,0.73224043715847,0.6146788990825688,0.7650980702309396,0.08187134502923976
fr,fold_1,title,0.5427872860635697,0.5904255319148937,0.502262443438914,0.7004065840382976,0.08571428571428572
fr,fold_2,title,0.5053191489361702,0.5688622754491018,0.45454545454545453,0.6805801202688363,0.08571428571428572
fr,fold_3,title,0.5459317585301836,0.5777777777777777,0.5174129353233831,0.7107871738407583,0.08450704225352113
ge,fold_1,title,0.5584415584415584,0.6056338028169014,0.5180722891566265,0.6862458499509303,0.06779661016949153
ge,fold_2,title,0.5720524017467249,0.6359223300970874,0.5198412698412699,0.6945896244676733,0.05084745762711865
ge,fold_3,title,0.5702647657841141,0.6278026905829597,0.5223880597014925,0.684907265144864,0.06896551724137931
it,fold_1,title,0.5391061452513967,0.595679012345679,0.4923469387755102,0.6820834498182834,0.07920792079207921
it,fold_2,title,0.47536231884057967,0.5466666666666666,0.4205128205128205,0.6438501602564103,0.0297029702970297
it,fold_3,title,0.5317919075144508,0.580441640378549,0.49066666666666664,0.681329483477703,0.09900990099009901
po,fold_1,title,0.5197132616487455,0.5576923076923077,0.4865771812080537,0.6493343422380138,0.046153846153846156
po,fold_2,title,0.5587301587301589,0.5714285714285714,0.546583850931677,0.6610470275066549,0.0
po,fold_3,title,0.5895765472312703,0.6678966789667896,0.5276967930029155,0.6824740746208068,0.015625
ru,fold_1,title,0.47887323943661975,0.5619834710743802,0.4171779141104294,0.6717322115753817,0.1746031746031746
ru,fold_2,title,0.47349823321554774,0.5537190082644629,0.41358024691358025,0.670005382312376,0.125
ru,fold_3,title,0.43999999999999995,0.5188679245283019,0.3819444444444444,0.6570626477541371,0.09375
