language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6852003270645952,0.8167641325536062,0.5901408450704225,0.7673907994492277,0.13372093023255813
en,fold_2,raw_text,0.6903553299492385,0.7846153846153846,0.6163141993957704,0.7758245361874926,0.1111111111111111
en,fold_3,raw_text,0.6866438356164384,0.7801556420233463,0.6131498470948012,0.7741036591795846,0.13450292397660818
fr,fold_1,raw_text,0.48725212464589235,0.6515151515151515,0.3891402714932127,0.664267105443576,0.08571428571428572
fr,fold_2,raw_text,0.5580110497237569,0.6601307189542484,0.48325358851674644,0.7079043558666741,0.12857142857142856
fr,fold_3,raw_text,0.5747126436781609,0.6802721088435374,0.4975124378109453,0.7191219187793693,0.07042253521126761
ge,fold_1,raw_text,0.5967365967365968,0.7111111111111111,0.5140562248995983,0.711967453870943,0.06779661016949153
ge,fold_2,raw_text,0.626609442060086,0.6822429906542056,0.5793650793650794,0.7304490902051878,0.03389830508474576
ge,fold_3,raw_text,0.6163793103448276,0.7295918367346939,0.5335820895522388,0.7180778094820018,0.10344827586206896
it,fold_1,raw_text,0.5819295558958651,0.7279693486590039,0.4846938775510204,0.7076111266424377,0.0891089108910891
it,fold_2,raw_text,0.5317577548005908,0.627177700348432,0.46153846153846156,0.6785231370192308,0.039603960396039604
it,fold_3,raw_text,0.5568000000000001,0.696,0.464,0.6954263715110683,0.04950495049504951
po,fold_1,raw_text,0.5724907063197026,0.6416666666666667,0.5167785234899329,0.6881278238364698,0.07692307692307693
po,fold_2,raw_text,0.6376811594202899,0.6622073578595318,0.6149068322981367,0.7215690624075717,0.03076923076923077
po,fold_3,raw_text,0.6538461538461539,0.7259786476868327,0.5947521865889213,0.7277558401299037,0.0625
ru,fold_1,raw_text,0.364406779661017,0.589041095890411,0.26380368098159507,0.6110395317286279,0.06349206349206349
ru,fold_2,raw_text,0.45229681978798586,0.5289256198347108,0.3950617283950617,0.6587025263228714,0.109375
ru,fold_3,raw_text,0.36514522821576767,0.4536082474226804,0.3055555555555556,0.6175384160756502,0.0625
