language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7012987012987013,0.8275862068965517,0.6084507042253521,0.7777235853282237,0.12790697674418605
en,fold_2,title_and_first_sentence_each_paragraph,0.6432953549517967,0.7661795407098121,0.554380664652568,0.7448577688158914,0.0935672514619883
en,fold_3,title_and_first_sentence_each_paragraph,0.6717817561807332,0.7591522157996147,0.6024464831804281,0.765303701360329,0.08771929824561403
fr,fold_1,title_and_first_sentence_each_paragraph,0.48863636363636365,0.6564885496183206,0.3891402714932127,0.6649258669719027,0.05714285714285714
fr,fold_2,title_and_first_sentence_each_paragraph,0.5238095238095237,0.6929133858267716,0.42105263157894735,0.6852344869956993,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.536986301369863,0.5975609756097561,0.48756218905472637,0.7021669709460264,0.08450704225352113
ge,fold_1,title_and_first_sentence_each_paragraph,0.547945205479452,0.6349206349206349,0.4819277108433735,0.6811718276920508,0.01694915254237288
ge,fold_2,title_and_first_sentence_each_paragraph,0.5734265734265734,0.6949152542372882,0.4880952380952381,0.6970092915214866,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.578616352201258,0.6602870813397129,0.5149253731343284,0.6922053336259877,0.06896551724137931
it,fold_1,title_and_first_sentence_each_paragraph,0.5475841874084919,0.6426116838487973,0.4770408163265306,0.6876397819401733,0.07920792079207921
it,fold_2,title_and_first_sentence_each_paragraph,0.45454545454545453,0.6617647058823529,0.34615384615384615,0.6393855168269231,0.06930693069306931
it,fold_3,title_and_first_sentence_each_paragraph,0.5496402877697841,0.596875,0.5093333333333333,0.6925877446262431,0.04950495049504951
po,fold_1,title_and_first_sentence_each_paragraph,0.591078066914498,0.6625,0.5335570469798657,0.7006020529016976,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.6112115732368898,0.7316017316017316,0.5248447204968945,0.7097012718130731,0.06153846153846154
po,fold_3,title_and_first_sentence_each_paragraph,0.6391437308868502,0.6720257234726688,0.60932944606414,0.7124404915673322,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.42448979591836733,0.6341463414634146,0.31901840490797545,0.638646893691818,0.15873015873015872
ru,fold_2,title_and_first_sentence_each_paragraph,0.41739130434782606,0.7058823529411765,0.2962962962962963,0.6345241699465133,0.15625
ru,fold_3,title_and_first_sentence_each_paragraph,0.3671875,0.41964285714285715,0.3263888888888889,0.6199763593380615,0.0625
