language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6252045826513911,0.74609375,0.5380281690140845,0.7307337547072777,0.10465116279069768
en,fold_2,title,0.6161449752883031,0.677536231884058,0.5649546827794562,0.7310916600964256,0.05847953216374269
en,fold_3,title,0.6260869565217392,0.7258064516129032,0.5504587155963303,0.7361488980280503,0.07602339181286549
fr,fold_1,title,0.3712574850299401,0.5486725663716814,0.28054298642533937,0.6066746552680056,0.014285714285714285
fr,fold_2,title,0.40125391849529773,0.5818181818181818,0.3062200956937799,0.6232786600388485,0.05714285714285714
fr,fold_3,title,0.4450867052023121,0.5310344827586206,0.38308457711442784,0.648667130927958,0.04225352112676056
ge,fold_1,title,0.48123620309050774,0.5343137254901961,0.43775100401606426,0.6365531449889681,0.03389830508474576
ge,fold_2,title,0.4761904761904762,0.5555555555555556,0.4166666666666667,0.6351626016260163,0.01694915254237288
ge,fold_3,title,0.4733178654292344,0.6257668711656442,0.3805970149253731,0.6342323309920984,0.017241379310344827
it,fold_1,title,0.4243323442136499,0.5070921985815603,0.3647959183673469,0.6143940452893487,0.039603960396039604
it,fold_2,title,0.39202657807308966,0.5566037735849056,0.30256410256410254,0.6053836137820513,0.04950495049504951
it,fold_3,title,0.43410852713178294,0.5185185185185185,0.37333333333333335,0.6241065126724414,0.039603960396039604
po,fold_1,title,0.48562300319488816,0.4634146341463415,0.5100671140939598,0.6112427073737773,0.0
po,fold_2,title,0.5107084019769358,0.543859649122807,0.4813664596273292,0.6301390121265897,0.0
po,fold_3,title,0.5305410122164048,0.6608695652173913,0.44314868804664725,0.6510499317267594,0.015625
ru,fold_1,title,0.2100456621004566,0.4107142857142857,0.1411042944785276,0.5476036076008771,0.07936507936507936
ru,fold_2,title,0.18604651162790697,0.37735849056603776,0.12345679012345678,0.5392488310290309,0.015625
ru,fold_3,title,0.22459893048128343,0.4883720930232558,0.14583333333333334,0.5582890070921985,0.03125
