language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6954436450839327,0.8040665434380776,0.6126760563380281,0.7751248361784369,0.13372093023255813
en,fold_2,raw_text,0.695369618196588,0.7521968365553603,0.6465256797583081,0.7825584518883919,0.09941520467836257
en,fold_3,raw_text,0.697751873438801,0.7659963436928702,0.6406727828746177,0.7835547822419066,0.11695906432748537
fr,fold_1,raw_text,0.5322580645161291,0.6556291390728477,0.4479638009049774,0.6897263009794979,0.11428571428571428
fr,fold_2,raw_text,0.5714285714285714,0.625,0.5263157894736842,0.7203563383166086,0.15714285714285714
fr,fold_3,raw_text,0.5776566757493188,0.6385542168674698,0.527363184079602,0.7258505706022222,0.07042253521126761
ge,fold_1,raw_text,0.6071428571428571,0.6834170854271356,0.5461847389558233,0.7184996485073745,0.05084745762711865
ge,fold_2,raw_text,0.6354378818737271,0.6527196652719666,0.6190476190476191,0.7372241579558653,0.03389830508474576
ge,fold_3,raw_text,0.6411290322580645,0.6973684210526315,0.5932835820895522,0.7332226733977173,0.10344827586206896
it,fold_1,raw_text,0.5854383358098069,0.701067615658363,0.5025510204081632,0.7101796197931227,0.09900990099009901
it,fold_2,raw_text,0.5667574931880108,0.6046511627906976,0.5333333333333333,0.7002604166666666,0.039603960396039604
it,fold_3,raw_text,0.5815384615384616,0.6872727272727273,0.504,0.710614051973051,0.039603960396039604
po,fold_1,raw_text,0.6031746031746031,0.6356877323420075,0.5738255033557047,0.7068473922007282,0.06153846153846154
po,fold_2,raw_text,0.6463414634146342,0.6347305389221557,0.6583850931677019,0.7254510499852116,0.03076923076923077
po,fold_3,raw_text,0.6666666666666666,0.694006309148265,0.641399416909621,0.7329962726501088,0.046875
ru,fold_1,raw_text,0.3821138211382114,0.5662650602409639,0.2883435582822086,0.6191370086265007,0.031746031746031744
ru,fold_2,raw_text,0.45517241379310336,0.515625,0.4074074074074074,0.6614693712786356,0.09375
ru,fold_3,raw_text,0.4015748031496063,0.4636363636363636,0.3541666666666667,0.637854609929078,0.0625
