language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6661197703035274,0.7976424361493124,0.571830985915493,0.7555856931933178,0.12209302325581395
en,fold_2,raw_text,0.6473175021987687,0.7747368421052632,0.5558912386706949,0.7470564738388116,0.07602339181286549
en,fold_3,raw_text,0.6717044500419815,0.74487895716946,0.6116207951070336,0.7664425814615627,0.07017543859649122
fr,fold_1,raw_text,0.3785488958990536,0.625,0.27149321266968324,0.6120311913150788,0.02857142857142857
fr,fold_2,raw_text,0.4466019417475728,0.69,0.33014354066985646,0.6449680089860308,0.11428571428571428
fr,fold_3,raw_text,0.48502994011976047,0.6090225563909775,0.40298507462686567,0.6687056520675313,0.09859154929577464
ge,fold_1,raw_text,0.5048076923076924,0.6287425149700598,0.42168674698795183,0.6571172036499551,0.05084745762711865
ge,fold_2,raw_text,0.5467289719626168,0.6647727272727273,0.4642857142857143,0.6807491289198607,0.01694915254237288
ge,fold_3,raw_text,0.5426695842450766,0.656084656084656,0.4626865671641791,0.6716006365232661,0.017241379310344827
it,fold_1,raw_text,0.4648829431438126,0.6747572815533981,0.35459183673469385,0.6445170533967011,0.0891089108910891
it,fold_2,raw_text,0.46753246753246747,0.6371681415929203,0.36923076923076925,0.6445763221153846,0.04950495049504951
it,fold_3,raw_text,0.4939550949913645,0.7009803921568627,0.38133333333333336,0.661311517484761,0.09900990099009901
po,fold_1,raw_text,0.5271028037383177,0.5949367088607594,0.47315436241610737,0.6581458086590342,0.015384615384615385
po,fold_2,raw_text,0.5759717314487632,0.6680327868852459,0.5062111801242236,0.6842280390417037,0.09230769230769231
po,fold_3,raw_text,0.5923460898502495,0.689922480620155,0.5189504373177842,0.6871424880983135,0.015625
ru,fold_1,raw_text,0.15609756097560976,0.38095238095238093,0.09815950920245399,0.5309990870073467,0.0
ru,fold_2,raw_text,0.17435897435897435,0.5151515151515151,0.10493827160493827,0.5415699532411613,0.078125
ru,fold_3,raw_text,0.20869565217391303,0.27906976744186046,0.16666666666666666,0.5421099290780143,0.03125
