language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.6441717791411042,0.7070707070707071,0.5915492957746479,0.7445378987707162,0.0755813953488372
en,fold_2,title_and_5_sentences,0.5982758620689655,0.6967871485943775,0.5241691842900302,0.7184933681265393,0.06432748538011696
en,fold_3,title_and_5_sentences,0.6149870801033591,0.7041420118343196,0.5458715596330275,0.7298323315406515,0.0935672514619883
fr,fold_1,title_and_5_sentences,0.3801169590643274,0.5371900826446281,0.29411764705882354,0.6101681779431141,0.04285714285714286
fr,fold_2,title_and_5_sentences,0.42134831460674155,0.5102040816326531,0.3588516746411483,0.6327332303166832,0.02857142857142857
fr,fold_3,title_and_5_sentences,0.37151702786377705,0.4918032786885246,0.29850746268656714,0.6101616758577855,0.028169014084507043
ge,fold_1,title_and_5_sentences,0.4838709677419355,0.5675675675675675,0.42168674698795183,0.6415192833726587,0.05084745762711865
ge,fold_2,title_and_5_sentences,0.4781609195402298,0.5683060109289617,0.4126984126984127,0.6375338753387534,0.03389830508474576
ge,fold_3,title_and_5_sentences,0.48140043763676144,0.582010582010582,0.41044776119402987,0.6326135864793678,0.017241379310344827
it,fold_1,title_and_5_sentences,0.4200626959247649,0.5447154471544715,0.34183673469387754,0.6161238467989936,0.0297029702970297
it,fold_2,title_and_5_sentences,0.44744744744744747,0.5398550724637681,0.382051282051282,0.629013922275641,0.07920792079207921
it,fold_3,title_and_5_sentences,0.4483870967741935,0.5673469387755102,0.37066666666666664,0.6343227462303498,0.009900990099009901
po,fold_1,title_and_5_sentences,0.5183887915936952,0.5421245421245421,0.4966442953020134,0.6461979646444708,0.015384615384615385
po,fold_2,title_and_5_sentences,0.5557404326123129,0.5985663082437276,0.5186335403726708,0.6640786749482402,0.015384615384615385
po,fold_3,title_and_5_sentences,0.5632377740303541,0.668,0.4868804664723032,0.6683950252795513,0.015625
ru,fold_1,title_and_5_sentences,0.1872340425531915,0.3055555555555556,0.13496932515337423,0.532714147973071,0.031746031746031744
ru,fold_2,title_and_5_sentences,0.23478260869565212,0.39705882352941174,0.16666666666666666,0.5554041780199819,0.078125
ru,fold_3,title_and_5_sentences,0.2030456852791878,0.37735849056603776,0.1388888888888889,0.5475029550827423,0.0625
