language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6444629475437135,0.7881873727087576,0.5450704225352113,0.7419109474277941,0.09302325581395349
en,fold_2,title_and_first_sentence_each_paragraph,0.6253229974160206,0.7274549098196392,0.5483383685800605,0.7349082143131249,0.08187134502923976
en,fold_3,title_and_first_sentence_each_paragraph,0.6432160804020101,0.7111111111111111,0.5871559633027523,0.7487503954444796,0.07602339181286549
fr,fold_1,title_and_first_sentence_each_paragraph,0.391812865497076,0.5537190082644629,0.3031674208144796,0.6160105878775956,0.014285714285714285
fr,fold_2,title_and_first_sentence_each_paragraph,0.46067415730337075,0.5578231292517006,0.3923444976076555,0.6540192008142038,0.07142857142857142
fr,fold_3,title_and_first_sentence_each_paragraph,0.40223463687150834,0.4585987261146497,0.3582089552238806,0.6255105305753702,0.04225352112676056
ge,fold_1,title_and_first_sentence_each_paragraph,0.5225653206650831,0.6395348837209303,0.44176706827309237,0.6671573642925254,0.05084745762711865
ge,fold_2,title_and_first_sentence_each_paragraph,0.5330296127562643,0.6256684491978609,0.4642857142857143,0.6711672473867596,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.4668094218415418,0.5477386934673367,0.40671641791044777,0.6206376207199298,0.034482758620689655
it,fold_1,title_and_first_sentence_each_paragraph,0.4737678855325914,0.6286919831223629,0.38010204081632654,0.6469981828347777,0.039603960396039604
it,fold_2,title_and_first_sentence_each_paragraph,0.4272151898734177,0.5578512396694215,0.34615384615384615,0.620830829326923,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5214814814814814,0.5866666666666667,0.4693333333333333,0.6749939043952519,0.039603960396039604
po,fold_1,title_and_first_sentence_each_paragraph,0.536231884057971,0.5826771653543307,0.4966442953020134,0.6617208404614642,0.03076923076923077
po,fold_2,title_and_first_sentence_each_paragraph,0.5092748735244519,0.5571955719557196,0.468944099378882,0.6324312333629104,0.015384615384615385
po,fold_3,title_and_first_sentence_each_paragraph,0.5746753246753247,0.6483516483516484,0.5160349854227405,0.6712182160386759,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.22119815668202766,0.4444444444444444,0.147239263803681,0.5527573231396709,0.031746031746031744
ru,fold_2,title_and_first_sentence_each_paragraph,0.2300884955752212,0.40625,0.16049382716049382,0.5543613549971407,0.0625
ru,fold_3,title_and_first_sentence_each_paragraph,0.1588785046728972,0.24285714285714285,0.11805555555555555,0.5237884160756501,0.0
