language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6271050521251003,0.7281191806331471,0.5507042253521127,0.732360357670167,0.05813953488372093
en,fold_2,title_and_10_sentences,0.6224489795918368,0.7120622568093385,0.552870090634441,0.7337098721070588,0.07602339181286549
en,fold_3,title_and_10_sentences,0.6087689713322092,0.6785714285714286,0.5519877675840978,0.7268559527575661,0.08187134502923976
fr,fold_1,title_and_10_sentences,0.38006230529595014,0.61,0.27601809954751133,0.6123173501690125,0.04285714285714286
fr,fold_2,title_and_10_sentences,0.40243902439024387,0.5546218487394958,0.3157894736842105,0.6235237900197966,0.05714285714285714
fr,fold_3,title_and_10_sentences,0.39169139465875374,0.4852941176470588,0.3283582089552239,0.6200429128004367,0.028169014084507043
ge,fold_1,title_and_10_sentences,0.4770642201834862,0.5561497326203209,0.41767068273092367,0.6369115978645953,0.03389830508474576
ge,fold_2,title_and_10_sentences,0.510158013544018,0.5916230366492147,0.44841269841269843,0.656262098335269,0.01694915254237288
ge,fold_3,title_and_10_sentences,0.5043103448275862,0.5969387755102041,0.43656716417910446,0.6456732879719052,0.017241379310344827
it,fold_1,title_and_10_sentences,0.432258064516129,0.5877192982456141,0.34183673469387754,0.6249301090299133,0.019801980198019802
it,fold_2,title_and_10_sentences,0.42765273311897106,0.5732758620689655,0.34102564102564104,0.6221729767628206,0.019801980198019802
it,fold_3,title_and_10_sentences,0.45324881141045964,0.55859375,0.38133333333333336,0.6362874558870709,0.0
po,fold_1,title_and_10_sentences,0.4638783269961977,0.5350877192982456,0.40939597315436244,0.6180966793876387,0.015384615384615385
po,fold_2,title_and_10_sentences,0.5,0.6485148514851485,0.40683229813664595,0.6430419994084591,0.015384615384615385
po,fold_3,title_and_10_sentences,0.574712643678161,0.6578947368421053,0.5102040816326531,0.6728235598036683,0.03125
ru,fold_1,title_and_10_sentences,0.2077922077922078,0.35294117647058826,0.147239263803681,0.5430215790506582,0.031746031746031744
ru,fold_2,title_and_10_sentences,0.24034334763948495,0.39436619718309857,0.1728395061728395,0.5571281999529046,0.09375
ru,fold_3,title_and_10_sentences,0.21904761904761905,0.3484848484848485,0.1597222222222222,0.5512706855791962,0.03125
