language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6967840735068913,0.7634228187919463,0.6408450704225352,0.7789031005822924,0.09883720930232558
en,fold_2,raw_text,0.7009646302250803,0.7491408934707904,0.6586102719033232,0.7871573299470427,0.12280701754385964
en,fold_3,raw_text,0.6793103448275862,0.7786561264822134,0.6024464831804281,0.769039333544237,0.1111111111111111
fr,fold_1,raw_text,0.5537634408602151,0.6821192052980133,0.4660633484162896,0.701411120848461,0.12857142857142856
fr,fold_2,raw_text,0.5661375661375662,0.6331360946745562,0.5119617224880383,0.715773338546224,0.11428571428571428
fr,fold_3,raw_text,0.5852272727272728,0.6821192052980133,0.5124378109452736,0.7259540883225737,0.08450704225352113
ge,fold_1,raw_text,0.6419213973799127,0.7033492822966507,0.5903614457831325,0.7414545530475455,0.13559322033898305
ge,fold_2,raw_text,0.6315789473684209,0.6446280991735537,0.6190476190476191,0.7346109175377468,0.03389830508474576
ge,fold_3,raw_text,0.5887265135699374,0.6682464454976303,0.5261194029850746,0.6987214661984197,0.1206896551724138
it,fold_1,raw_text,0.5873715124816448,0.6920415224913494,0.5102040816326531,0.7115599664523343,0.1188118811881188
it,fold_2,raw_text,0.5224719101123596,0.577639751552795,0.47692307692307695,0.6720552884615385,0.04950495049504951
it,fold_3,raw_text,0.5632911392405064,0.6926070038910506,0.4746666666666667,0.6993160089829965,0.07920792079207921
po,fold_1,raw_text,0.6092943201376936,0.6254416961130742,0.5939597315436241,0.7103785585822695,0.07692307692307693
po,fold_2,raw_text,0.6129032258064516,0.6375838926174496,0.5900621118012422,0.7031943212067435,0.046153846153846156
po,fold_3,raw_text,0.6254295532646048,0.7615062761506276,0.5306122448979592,0.7137690519245674,0.046875
ru,fold_1,raw_text,0.5106382978723405,0.6050420168067226,0.44171779141104295,0.6881746119781224,0.19047619047619047
ru,fold_2,raw_text,0.535593220338983,0.5939849624060151,0.4876543209876543,0.7070424193494129,0.078125
ru,fold_3,raw_text,0.48387096774193544,0.5769230769230769,0.4166666666666667,0.6790780141843972,0.125
