language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7031484257871065,0.7516025641025641,0.6605633802816901,0.7846397584565106,0.10465116279069768
en,fold_2,raw_text,0.7069767441860466,0.7261146496815286,0.6888217522658611,0.7947572964562561,0.10526315789473684
en,fold_3,raw_text,0.6851851851851851,0.7621722846441947,0.6223241590214067,0.7746678266371401,0.09941520467836257
fr,fold_1,raw_text,0.5714285714285714,0.6707317073170732,0.497737556561086,0.7132956557508987,0.14285714285714285
fr,fold_2,raw_text,0.59,0.6178010471204188,0.5645933014354066,0.7349555352832028,0.08571428571428572
fr,fold_3,raw_text,0.5853658536585366,0.6428571428571429,0.5373134328358209,0.7308256949803316,0.09859154929577464
ge,fold_1,raw_text,0.6625258799171843,0.6837606837606838,0.642570281124498,0.7571603572000306,0.15254237288135594
ge,fold_2,raw_text,0.6342412451361867,0.6221374045801527,0.6468253968253969,0.737175764614789,0.01694915254237288
ge,fold_3,raw_text,0.5915492957746479,0.6419213973799127,0.5485074626865671,0.69888608428446,0.1206896551724138
it,fold_1,raw_text,0.6083333333333334,0.6676829268292683,0.5586734693877551,0.7260099245177523,0.1188118811881188
it,fold_2,raw_text,0.5593667546174141,0.5760869565217391,0.5435897435897435,0.6956229967948717,0.039603960396039604
it,fold_3,raw_text,0.5990922844175491,0.6923076923076923,0.528,0.7216515880654476,0.07920792079207921
po,fold_1,raw_text,0.6166394779771616,0.6,0.6342281879194631,0.7141729174891434,0.07692307692307693
po,fold_2,raw_text,0.6265432098765433,0.6226993865030674,0.6304347826086957,0.710625554569654,0.03076923076923077
po,fold_3,raw_text,0.6579378068739771,0.75,0.5860058309037901,0.7324242536074105,0.046875
ru,fold_1,raw_text,0.5360824742268042,0.609375,0.4785276073619632,0.7044932890773654,0.19047619047619047
ru,fold_2,raw_text,0.5460526315789475,0.5845070422535211,0.5123456790123457,0.71598210381135,0.09375
ru,fold_3,raw_text,0.5153846153846153,0.5775862068965517,0.4652777777777778,0.7000591016548463,0.125
