language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.697063369397218,0.7722602739726028,0.6352112676056338,0.7784419117769041,0.0755813953488372
en,fold_2,title_and_first_paragraph,0.6639141205615194,0.73224043715847,0.6072507552870091,0.7611888880361142,0.08187134502923976
en,fold_3,title_and_first_paragraph,0.6879489225857941,0.7195325542570952,0.6590214067278287,0.7812348412949489,0.1286549707602339
fr,fold_1,title_and_first_paragraph,0.518324607329843,0.6149068322981367,0.4479638009049774,0.6831386856962305,0.05714285714285714
fr,fold_2,title_and_first_paragraph,0.49046321525885556,0.569620253164557,0.430622009569378,0.6712124315032363,0.08571428571428572
fr,fold_3,title_and_first_paragraph,0.544959128065395,0.6024096385542169,0.4975124378109453,0.7071420953241359,0.09859154929577464
ge,fold_1,title_and_first_paragraph,0.5610859728506786,0.6424870466321243,0.4979919678714859,0.689203956206107,0.06779661016949153
ge,fold_2,title_and_first_paragraph,0.5979797979797981,0.6090534979423868,0.5873015873015873,0.7108981804103756,0.05084745762711865
ge,fold_3,title_and_first_paragraph,0.5742971887550201,0.6217391304347826,0.5335820895522388,0.6868278094820018,0.017241379310344827
it,fold_1,title_and_first_paragraph,0.5355029585798817,0.6373239436619719,0.461734693877551,0.6804759575062902,0.0594059405940594
it,fold_2,title_and_first_paragraph,0.5091420534458508,0.5638629283489096,0.4641025641025641,0.6636919070512821,0.019801980198019802
it,fold_3,title_and_first_paragraph,0.5384615384615385,0.5779816513761468,0.504,0.685589990375361,0.07920792079207921
po,fold_1,title_and_first_paragraph,0.5656192236598891,0.6296296296296297,0.5134228187919463,0.6831819976312673,0.06153846153846154
po,fold_2,title_and_first_paragraph,0.603125,0.6069182389937107,0.5993788819875776,0.693396923986986,0.046153846153846156
po,fold_3,title_and_first_paragraph,0.6081504702194358,0.6576271186440678,0.565597667638484,0.6914787614865116,0.0625
ru,fold_1,title_and_first_paragraph,0.43846153846153846,0.5876288659793815,0.3496932515337423,0.6470302140839782,0.15873015873015872
ru,fold_2,title_and_first_paragraph,0.4444444444444444,0.5079365079365079,0.3950617283950617,0.6552965317724627,0.09375
ru,fold_3,title_and_first_paragraph,0.4761904761904762,0.5038759689922481,0.4513888888888889,0.6831412529550827,0.09375
