language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7169811320754719,0.7723577235772358,0.6690140845070423,0.7932820716999286,0.13372093023255813
en,fold_2,title_and_first_sentence_each_paragraph,0.6756302521008404,0.7613636363636364,0.6072507552870091,0.7672512436943129,0.07017543859649122
en,fold_3,title_and_first_sentence_each_paragraph,0.6825775656324582,0.7114427860696517,0.6559633027522935,0.7779816513761468,0.08187134502923976
fr,fold_1,title_and_first_sentence_each_paragraph,0.5309278350515464,0.6167664670658682,0.4660633484162896,0.6908709363952331,0.1
fr,fold_2,title_and_first_sentence_each_paragraph,0.5646437994722956,0.6294117647058823,0.5119617224880383,0.7151248301156143,0.11428571428571428
fr,fold_3,title_and_first_sentence_each_paragraph,0.5851063829787234,0.6285714285714286,0.5472636815920398,0.7326482342386428,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.5903083700440529,0.6536585365853659,0.5381526104417671,0.7075511752382145,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.5866666666666667,0.6666666666666666,0.5238095238095238,0.7044134727061556,0.06779661016949153
ge,fold_3,title_and_first_sentence_each_paragraph,0.6067864271457085,0.6523605150214592,0.5671641791044776,0.709133560140474,0.05172413793103448
it,fold_1,title_and_first_sentence_each_paragraph,0.5985401459854014,0.6996587030716723,0.5229591836734694,0.7184267542633492,0.1188118811881188
it,fold_2,title_and_first_sentence_each_paragraph,0.5297297297297298,0.56,0.5025641025641026,0.6760867387820513,0.039603960396039604
it,fold_3,title_and_first_sentence_each_paragraph,0.5625,0.601823708206687,0.528,0.700958614051973,0.09900990099009901
po,fold_1,title_and_first_sentence_each_paragraph,0.6345083487940631,0.6356877323420075,0.6333333333333333,0.7327625570776255,0.11475409836065574
po,fold_2,title_and_first_sentence_each_paragraph,0.634920634920635,0.6493506493506493,0.6211180124223602,0.7187222715173025,0.046153846153846156
po,fold_3,title_and_first_sentence_each_paragraph,0.6833855799373041,0.7389830508474576,0.6355685131195336,0.7481640033952099,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.46564885496183206,0.5545454545454546,0.40131578947368424,0.6650474296205631,0.2
ru,fold_2,title_and_first_sentence_each_paragraph,0.5289855072463768,0.6403508771929824,0.4506172839506173,0.6973794866619571,0.140625
ru,fold_3,title_and_first_sentence_each_paragraph,0.5343511450381679,0.5932203389830508,0.4861111111111111,0.7111406619385343,0.171875
