language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7063253012048193,0.7588996763754046,0.6605633802816901,0.7864065429088074,0.09302325581395349
en,fold_2,title_and_10_sentences,0.6572614107883817,0.7292817679558011,0.5981873111782477,0.7566571659817336,0.07602339181286549
en,fold_3,title_and_10_sentences,0.665587044534413,0.7074010327022375,0.6284403669724771,0.7653696087735948,0.09941520467836257
fr,fold_1,title_and_10_sentences,0.535885167464115,0.5685279187817259,0.5067873303167421,0.6973989352505977,0.014285714285714285
fr,fold_2,title_and_10_sentences,0.5474254742547425,0.63125,0.48325358851674644,0.7033647968524069,0.1
fr,fold_3,title_and_10_sentences,0.512396694214876,0.5740740740740741,0.4626865671641791,0.6878376089288739,0.07042253521126761
ge,fold_1,title_and_10_sentences,0.5814432989690722,0.597457627118644,0.5662650602409639,0.7008101731014178,0.0847457627118644
ge,fold_2,title_and_10_sentences,0.5676274944567626,0.6432160804020101,0.5079365079365079,0.6921215640727836,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.6157024793388429,0.6898148148148148,0.5559701492537313,0.7164041922739246,0.034482758620689655
it,fold_1,title_and_10_sentences,0.5966850828729281,0.6506024096385542,0.5510204081632653,0.7187587363712609,0.019801980198019802
it,fold_2,title_and_10_sentences,0.5029585798816568,0.5944055944055944,0.4358974358974359,0.661308092948718,0.07920792079207921
it,fold_3,title_and_10_sentences,0.5665236051502146,0.6111111111111112,0.528,0.7033647738209817,0.0891089108910891
po,fold_1,title_and_10_sentences,0.5858585858585859,0.5878378378378378,0.5838926174496645,0.6922731061104531,0.046153846153846156
po,fold_2,title_and_10_sentences,0.6095890410958904,0.6793893129770993,0.5527950310559007,0.7049689440993789,0.03076923076923077
po,fold_3,title_and_10_sentences,0.6072041166380789,0.7375,0.5160349854227405,0.7010554673949146,0.046875
ru,fold_1,title_and_10_sentences,0.4516129032258065,0.5431034482758621,0.38650306748466257,0.6563947882624982,0.15873015873015872
ru,fold_2,title_and_10_sentences,0.41379310344827586,0.5454545454545454,0.3333333333333333,0.6360127157129882,0.125
ru,fold_3,title_and_10_sentences,0.5258964143426293,0.616822429906542,0.4583333333333333,0.7019060283687942,0.09375
