language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.711969111969112,0.788034188034188,0.6492957746478873,0.7881343419764761,0.13372093023255813
en,fold_2,raw_text,0.6935483870967742,0.7439446366782007,0.649546827794562,0.7820482406871193,0.0935672514619883
en,fold_3,raw_text,0.6732026143790849,0.7228070175438597,0.6299694189602446,0.7695824106295476,0.0935672514619883
fr,fold_1,raw_text,0.529262086513995,0.6046511627906976,0.47058823529411764,0.6904983337208401,0.05714285714285714
fr,fold_2,raw_text,0.5386666666666667,0.608433734939759,0.48325358851674644,0.6994737462687493,0.08571428571428572
fr,fold_3,raw_text,0.5591397849462366,0.6081871345029239,0.5174129353233831,0.7164618270563952,0.08450704225352113
ge,fold_1,raw_text,0.6363636363636364,0.6264591439688716,0.6465863453815262,0.7401042645451825,0.0847457627118644
ge,fold_2,raw_text,0.6153846153846154,0.6462882096069869,0.5873015873015873,0.723093302361595,0.01694915254237288
ge,fold_3,raw_text,0.5877712031558184,0.6234309623430963,0.5559701492537313,0.6952644863915716,0.017241379310344827
it,fold_1,raw_text,0.5843971631205674,0.65814696485623,0.5255102040816326,0.7104067654459043,0.06930693069306931
it,fold_2,raw_text,0.5456953642384106,0.5643835616438356,0.5282051282051282,0.686465845352564,0.019801980198019802
it,fold_3,raw_text,0.5847953216374269,0.6472491909385113,0.5333333333333333,0.7142123837022779,0.07920792079207921
po,fold_1,raw_text,0.6148760330578513,0.6058631921824105,0.6241610738255033,0.713224327762425,0.03076923076923077
po,fold_2,raw_text,0.6477987421383647,0.6560509554140127,0.639751552795031,0.728039041703638,0.046153846153846156
po,fold_3,raw_text,0.6384976525821596,0.6891891891891891,0.5947521865889213,0.7141934531497951,0.046875
ru,fold_1,raw_text,0.4626334519572953,0.5508474576271186,0.3987730061349693,0.6625297575876515,0.12698412698412698
ru,fold_2,raw_text,0.4334600760456274,0.5643564356435643,0.35185185185185186,0.6459531738823292,0.140625
ru,fold_3,raw_text,0.456,0.5377358490566038,0.3958333333333333,0.6653368794326241,0.09375
