language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6557911908646004,0.7790697674418605,0.5661971830985916,0.7495296869556562,0.0755813953488372
en,fold_2,title_and_first_paragraph,0.652493867538839,0.7112299465240641,0.6027190332326284,0.7545927729673535,0.08771929824561403
en,fold_3,title_and_first_paragraph,0.6649874055415617,0.7374301675977654,0.6055045871559633,0.7622350521986713,0.11695906432748537
fr,fold_1,title_and_first_paragraph,0.5240641711229946,0.6405228758169934,0.4434389140271493,0.6854875729556036,0.04285714285714286
fr,fold_2,title_and_first_paragraph,0.49604221635883905,0.5529411764705883,0.44976076555023925,0.6755937420487902,0.04285714285714286
fr,fold_3,title_and_first_paragraph,0.484149855907781,0.5753424657534246,0.417910447761194,0.6698631683950989,0.07042253521126761
ge,fold_1,title_and_first_paragraph,0.562929061784897,0.6542553191489362,0.4939759036144578,0.6906621285836587,0.03389830508474576
ge,fold_2,title_and_first_paragraph,0.5622317596566524,0.6121495327102804,0.5198412698412699,0.6876209833526906,0.0
ge,fold_3,title_and_first_paragraph,0.5656565656565657,0.6167400881057269,0.5223880597014925,0.6812307945566286,0.017241379310344827
it,fold_1,title_and_first_paragraph,0.5354558610709117,0.6187290969899666,0.4719387755102041,0.6801963936259435,0.0891089108910891
it,fold_2,title_and_first_paragraph,0.44573082489146165,0.5116279069767442,0.39487179487179486,0.6256585536858974,0.0297029702970297
it,fold_3,title_and_first_paragraph,0.5044510385756676,0.568561872909699,0.4533333333333333,0.6645877446262431,0.039603960396039604
po,fold_1,title_and_first_paragraph,0.5345454545454545,0.5833333333333334,0.49328859060402686,0.6608599815765231,0.046153846153846156
po,fold_2,title_and_first_paragraph,0.5983739837398374,0.6279863481228669,0.5714285714285714,0.6930272108843537,0.03076923076923077
po,fold_3,title_and_first_paragraph,0.6178861788617886,0.6985294117647058,0.5539358600583091,0.7028268812045614,0.046875
ru,fold_1,title_and_first_paragraph,0.40160642570281124,0.5813953488372093,0.3067484662576687,0.6283394626142307,0.1746031746031746
ru,fold_2,title_and_first_paragraph,0.41044776119402987,0.5188679245283019,0.3395061728395062,0.6350119420055841,0.0625
ru,fold_3,title_and_first_paragraph,0.41975308641975306,0.5151515151515151,0.3541666666666667,0.6451684397163121,0.09375
