language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6740506329113924,0.7689530685920578,0.6,0.7623085983510012,0.0872093023255814
en,fold_2,title_and_first_sentence_each_paragraph,0.6672185430463576,0.7380952380952381,0.6087613293051359,0.7630989094562632,0.08771929824561403
en,fold_3,title_and_first_sentence_each_paragraph,0.6610025488530162,0.7437858508604207,0.5948012232415902,0.7588948644943584,0.08771929824561403
fr,fold_1,title_and_first_sentence_each_paragraph,0.5093833780160859,0.625,0.4298642533936652,0.6773827195822081,0.05714285714285714
fr,fold_2,title_and_first_sentence_each_paragraph,0.5493333333333335,0.6204819277108434,0.49282296650717705,0.7055554521251839,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5129682997118157,0.6095890410958904,0.4427860696517413,0.6854535644601707,0.08450704225352113
ge,fold_1,title_and_first_sentence_each_paragraph,0.576419213973799,0.631578947368421,0.5301204819277109,0.6983358042220876,0.03389830508474576
ge,fold_2,title_and_first_sentence_each_paragraph,0.5776805251641138,0.6439024390243903,0.5238095238095238,0.6983159117305459,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.589247311827957,0.6954314720812182,0.5111940298507462,0.7004499561018437,0.08620689655172414
it,fold_1,title_and_first_sentence_each_paragraph,0.5609065155807366,0.6305732484076433,0.5051020408163265,0.6957995526977915,0.0891089108910891
it,fold_2,title_and_first_sentence_each_paragraph,0.504225352112676,0.559375,0.45897435897435895,0.6606395232371794,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5023696682464455,0.6162790697674418,0.424,0.6643580365736285,0.0891089108910891
po,fold_1,title_and_first_sentence_each_paragraph,0.5831842576028622,0.6245210727969349,0.5469798657718121,0.6934245734087819,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.6257861635220126,0.6337579617834395,0.6180124223602484,0.7112170955338658,0.06153846153846154
po,fold_3,title_and_first_sentence_each_paragraph,0.6167247386759581,0.7662337662337663,0.5160349854227405,0.7091928995829797,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.5259515570934256,0.6031746031746031,0.4662576687116564,0.6983583197522121,0.20634920634920634
ru,fold_2,title_and_first_sentence_each_paragraph,0.4486692015209126,0.5841584158415841,0.36419753086419754,0.6534884112086655,0.09375
ru,fold_3,title_and_first_sentence_each_paragraph,0.44642857142857145,0.625,0.3472222222222222,0.6536643026004729,0.09375
