language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7176381529144588,0.7757774140752864,0.6676056338028169,0.7934612385739643,0.11627906976744186
en,fold_2,title_and_10_sentences,0.6904955320877336,0.7469244288224957,0.6419939577039275,0.7794265400528877,0.08771929824561403
en,fold_3,title_and_10_sentences,0.7031888798037612,0.7557117750439367,0.6574923547400612,0.7888036486343983,0.14619883040935672
fr,fold_1,title_and_10_sentences,0.5597964376590331,0.6395348837209303,0.497737556561086,0.7080255635242847,0.12857142857142856
fr,fold_2,title_and_10_sentences,0.594871794871795,0.6408839779005525,0.5550239234449761,0.7353589137328642,0.07142857142857142
fr,fold_3,title_and_10_sentences,0.5504087193460491,0.608433734939759,0.5024875621890548,0.7102601745371503,0.11267605633802817
ge,fold_1,title_and_10_sentences,0.6357615894039735,0.7058823529411765,0.5783132530120482,0.7371635589150363,0.06779661016949153
ge,fold_2,title_and_10_sentences,0.6286919831223627,0.6711711711711712,0.5912698412698413,0.7320460704607047,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.628,0.6767241379310345,0.585820895522388,0.7239766242317821,0.05172413793103448
it,fold_1,title_and_10_sentences,0.5817655571635311,0.6722408026755853,0.5127551020408163,0.7084323455409561,0.1188118811881188
it,fold_2,title_and_10_sentences,0.5344827586206896,0.6078431372549019,0.47692307692307695,0.6798677884615385,0.07920792079207921
it,fold_3,title_and_10_sentences,0.5942028985507245,0.6507936507936508,0.5466666666666666,0.7203978184151427,0.07920792079207921
po,fold_1,title_and_10_sentences,0.648936170212766,0.6879699248120301,0.6140939597315436,0.7392365223494319,0.1076923076923077
po,fold_2,title_and_10_sentences,0.6490066225165564,0.6950354609929078,0.6086956521739131,0.7312185743862762,0.06153846153846154
po,fold_3,title_and_10_sentences,0.6801242236024845,0.7275747508305648,0.6384839650145773,0.7451009336826954,0.046875
ru,fold_1,title_and_10_sentences,0.5171102661596958,0.68,0.4171779141104294,0.6863358277089003,0.2222222222222222
ru,fold_2,title_and_10_sentences,0.524822695035461,0.6166666666666667,0.4567901234567901,0.6970599118646348,0.15625
ru,fold_3,title_and_10_sentences,0.5693430656934306,0.6,0.5416666666666666,0.7362588652482268,0.125
