language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.7225130890052356,0.7703349282296651,0.680281690140845,0.7977380182152989,0.13953488372093023
en,fold_2,title_and_5_sentences,0.6889250814332247,0.7473498233215548,0.6389728096676737,0.778204649637532,0.09941520467836257
en,fold_3,title_and_5_sentences,0.6933962264150944,0.7135922330097088,0.6743119266055045,0.7862938943372351,0.0935672514619883
fr,fold_1,title_and_5_sentences,0.5654450261780105,0.6708074534161491,0.48868778280542985,0.7094295304013974,0.08571428571428572
fr,fold_2,title_and_5_sentences,0.5552699228791774,0.6,0.5167464114832536,0.7116805987377358,0.08571428571428572
fr,fold_3,title_and_5_sentences,0.5608465608465609,0.5988700564971752,0.527363184079602,0.718914883338666,0.09859154929577464
ge,fold_1,title_and_5_sentences,0.6244541484716157,0.6842105263157895,0.5742971887550201,0.7299562200274233,0.0847457627118644
ge,fold_2,title_and_5_sentences,0.6236559139784946,0.6807511737089202,0.5753968253968254,0.7284649632210607,0.05084745762711865
ge,fold_3,title_and_5_sentences,0.5919661733615221,0.6829268292682927,0.5223880597014925,0.7014513827919227,0.034482758620689655
it,fold_1,title_and_5_sentences,0.569364161849711,0.6566666666666666,0.5025510204081632,0.7008841207715962,0.04950495049504951
it,fold_2,title_and_5_sentences,0.5252525252525252,0.6006600660066007,0.4666666666666667,0.6742513020833334,0.039603960396039604
it,fold_3,title_and_5_sentences,0.5586107091172214,0.6107594936708861,0.5146666666666667,0.6981418030157203,0.06930693069306931
po,fold_1,title_and_5_sentences,0.5963149078726968,0.5953177257525084,0.5973154362416108,0.6998015089704787,0.046153846153846156
po,fold_2,title_and_5_sentences,0.6436781609195402,0.6829268292682927,0.6086956521739131,0.7269668737060041,0.046153846153846156
po,fold_3,title_and_5_sentences,0.6449511400651466,0.7306273062730627,0.577259475218659,0.7226261209728014,0.078125
ru,fold_1,title_and_5_sentences,0.4962406015037594,0.6407766990291263,0.4049079754601227,0.6767238069233854,0.1746031746031746
ru,fold_2,title_and_5_sentences,0.4859154929577465,0.5655737704918032,0.42592592592592593,0.6768594207286306,0.109375
ru,fold_3,title_and_5_sentences,0.5503875968992248,0.6228070175438597,0.4930555555555556,0.717937352245863,0.140625
