language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6964560862865947,0.7687074829931972,0.6366197183098592,0.7782627449028683,0.08139534883720931
en,fold_2,title_and_first_paragraph,0.6925619834710743,0.7645985401459854,0.6329305135951662,0.7792250720400773,0.08771929824561403
en,fold_3,title_and_first_paragraph,0.706645056726094,0.7517241379310344,0.6666666666666666,0.7919540229885058,0.14035087719298245
fr,fold_1,title_and_first_paragraph,0.5144356955380578,0.6125,0.4434389140271493,0.6808762422573164,0.08571428571428572
fr,fold_2,title_and_first_paragraph,0.5449591280653951,0.6329113924050633,0.4784688995215311,0.7016209607854089,0.11428571428571428
fr,fold_3,title_and_first_paragraph,0.5449438202247191,0.6258064516129033,0.48258706467661694,0.704723544948649,0.1267605633802817
ge,fold_1,title_and_first_paragraph,0.6069868995633187,0.6650717703349283,0.5582329317269076,0.7184578870073013,0.0847457627118644
ge,fold_2,title_and_first_paragraph,0.5751633986928104,0.6376811594202898,0.5238095238095238,0.6965737514518002,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.6131687242798354,0.6834862385321101,0.5559701492537313,0.7145659569798068,0.08620689655172414
it,fold_1,title_and_first_paragraph,0.5726141078838175,0.6253776435045317,0.5280612244897959,0.7033652502096728,0.0891089108910891
it,fold_2,title_and_first_paragraph,0.48615384615384616,0.6076923076923076,0.40512820512820513,0.6527594150641025,0.019801980198019802
it,fold_3,title_and_first_paragraph,0.5419734904270986,0.6052631578947368,0.49066666666666664,0.6875854988771254,0.09900990099009901
po,fold_1,title_and_first_paragraph,0.5918003565062389,0.6311787072243346,0.5570469798657718,0.699275123919814,0.046153846153846156
po,fold_2,title_and_first_paragraph,0.597623089983022,0.6591760299625468,0.546583850931677,0.6959109730848861,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.6169154228855721,0.7153846153846154,0.5422740524781341,0.7042292504705319,0.046875
ru,fold_1,title_and_first_paragraph,0.5072463768115941,0.6194690265486725,0.4294478527607362,0.6848212838212583,0.19047619047619047
ru,fold_2,title_and_first_paragraph,0.46376811594202894,0.5614035087719298,0.3950617283950617,0.6634709186934437,0.140625
ru,fold_3,title_and_first_paragraph,0.5182186234817814,0.6213592233009708,0.4444444444444444,0.6962913711583923,0.15625
