language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6784850926672038,0.7928436911487758,0.5929577464788732,0.7640878249473282,0.08139534883720931
en,fold_2,title_and_first_sentence_each_paragraph,0.6519337016574586,0.6826446280991736,0.6238670694864048,0.7565062830111008,0.07602339181286549
en,fold_3,title_and_first_sentence_each_paragraph,0.686335403726708,0.6971608832807571,0.6758409785932722,0.7827480755035326,0.08187134502923976
fr,fold_1,title_and_first_sentence_each_paragraph,0.4457142857142857,0.6046511627906976,0.35294117647058826,0.6428737502906301,0.04285714285714286
fr,fold_2,title_and_first_sentence_each_paragraph,0.4879356568364612,0.5548780487804879,0.4354066985645933,0.670362233847796,0.1
fr,fold_3,title_and_first_sentence_each_paragraph,0.5168539325842697,0.5935483870967742,0.4577114427860697,0.6891331488835771,0.04225352112676056
ge,fold_1,title_and_first_sentence_each_paragraph,0.5241090146750524,0.5482456140350878,0.5020080321285141,0.6617492500330612,0.03389830508474576
ge,fold_2,title_and_first_sentence_each_paragraph,0.5429141716566867,0.5461847389558233,0.5396825396825397,0.6714092140921408,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.5222672064777328,0.5707964601769911,0.48134328358208955,0.651517230026339,0.034482758620689655
it,fold_1,title_and_first_sentence_each_paragraph,0.5048543689320388,0.5531914893617021,0.4642857142857143,0.6602250489236792,0.0297029702970297
it,fold_2,title_and_first_sentence_each_paragraph,0.4663072776280323,0.4914772727272727,0.44358974358974357,0.6343925280448718,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.5264750378214825,0.6083916083916084,0.464,0.6781020211742059,0.0297029702970297
po,fold_1,title_and_first_sentence_each_paragraph,0.5681818181818181,0.550314465408805,0.587248322147651,0.6767940957143482,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.6080246913580247,0.6042944785276073,0.6118012422360248,0.696206743566992,0.0
po,fold_3,title_and_first_sentence_each_paragraph,0.5738255033557047,0.6758893280632411,0.49854227405247814,0.6751300882016458,0.015625
ru,fold_1,title_and_first_sentence_each_paragraph,0.18604651162790697,0.38461538461538464,0.12269938650306748,0.5390965639052193,0.031746031746031744
ru,fold_2,title_and_first_sentence_each_paragraph,0.09836065573770493,0.42857142857142855,0.05555555555555555,0.5196033908567969,0.015625
ru,fold_3,title_and_first_sentence_each_paragraph,0.18478260869565216,0.425,0.11805555555555555,0.5437352245862884,0.015625
