language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7057079318013343,0.7449139280125195,0.6704225352112676,0.7872136233182369,0.0755813953488372
en,fold_2,raw_text,0.6736672051696284,0.7239583333333334,0.6299093655589124,0.7690539899388097,0.09941520467836257
en,fold_3,raw_text,0.6848072562358276,0.6771300448430493,0.6926605504587156,0.7842613097121164,0.09941520467836257
fr,fold_1,raw_text,0.5194174757281553,0.5602094240837696,0.4841628959276018,0.6867454795843543,0.014285714285714285
fr,fold_2,raw_text,0.5254691689008042,0.5975609756097561,0.4688995215311005,0.6916482043453168,0.12857142857142856
fr,fold_3,raw_text,0.5351351351351351,0.5857988165680473,0.4925373134328358,0.7021324650392425,0.09859154929577464
ge,fold_1,raw_text,0.6047516198704104,0.6542056074766355,0.5622489959839357,0.7169997146297494,0.01694915254237288
ge,fold_2,raw_text,0.5850622406639004,0.6130434782608696,0.5595238095238095,0.7022357723577236,0.03389830508474576
ge,fold_3,raw_text,0.5895953757225434,0.6095617529880478,0.5708955223880597,0.6953742317822651,0.017241379310344827
it,fold_1,raw_text,0.5590230664857531,0.5971014492753624,0.5255102040816326,0.6947511881464914,0.0297029702970297
it,fold_2,raw_text,0.5558659217877094,0.6104294478527608,0.5102564102564102,0.6931164863782051,0.039603960396039604
it,fold_3,raw_text,0.5681818181818182,0.60790273556231,0.5333333333333333,0.7045877446262432,0.0594059405940594
po,fold_1,raw_text,0.5737704918032788,0.5608974358974359,0.587248322147651,0.6816960564986622,0.03076923076923077
po,fold_2,raw_text,0.6386806596701649,0.6173913043478261,0.6614906832298136,0.7185004436557232,0.046153846153846156
po,fold_3,raw_text,0.6549192364170339,0.6597633136094675,0.6501457725947521,0.7210945861165443,0.0
ru,fold_1,raw_text,0.2643171806167401,0.46875,0.18404907975460122,0.5683805899468417,0.015873015873015872
ru,fold_2,raw_text,0.03592814371257485,0.6,0.018518518518518517,0.5078968614390958,0.03125
ru,fold_3,raw_text,0.14659685863874347,0.2978723404255319,0.09722222222222222,0.526669621749409,0.015625
