language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.6831831831831832,0.7315112540192926,0.6408450704225352,0.7712470346223395,0.08139534883720931
en,fold_2,title_and_5_sentences,0.6666666666666666,0.6915584415584416,0.6435045317220544,0.7669023813344683,0.05847953216374269
en,fold_3,title_and_5_sentences,0.6692131398013752,0.6687022900763359,0.6697247706422018,0.7725060634820204,0.06432748538011696
fr,fold_1,title_and_5_sentences,0.4975124378109453,0.5524861878453039,0.45248868778280543,0.6728846600969363,0.014285714285714285
fr,fold_2,title_and_5_sentences,0.46524064171123,0.5272727272727272,0.41626794258373206,0.6575503137043174,0.07142857142857142
fr,fold_3,title_and_5_sentences,0.45555555555555555,0.5157232704402516,0.4079601990049751,0.6554302886575948,0.08450704225352113
ge,fold_1,title_and_5_sentences,0.5393700787401575,0.528957528957529,0.5502008032128514,0.669381164171417,0.05084745762711865
ge,fold_2,title_and_5_sentences,0.5512820512820512,0.5972222222222222,0.5119047619047619,0.6801684088269454,0.01694915254237288
ge,fold_3,title_and_5_sentences,0.4798387096774193,0.5219298245614035,0.44402985074626866,0.6218311018437225,0.017241379310344827
it,fold_1,title_and_5_sentences,0.5081521739130435,0.5436046511627907,0.4770408163265306,0.6617102320380206,0.019801980198019802
it,fold_2,title_and_5_sentences,0.4536652835408022,0.4924924924924925,0.4205128205128205,0.6277368790064103,0.039603960396039604
it,fold_3,title_and_5_sentences,0.47919655667144906,0.5186335403726708,0.44533333333333336,0.6480757138273981,0.06930693069306931
po,fold_1,title_and_5_sentences,0.5197934595524958,0.5335689045936396,0.5067114093959731,0.6455125674430846,0.046153846153846156
po,fold_2,title_and_5_sentences,0.5961538461538463,0.6158940397350994,0.577639751552795,0.6901804199940846,0.046153846153846156
po,fold_3,title_and_5_sentences,0.5867895545314901,0.6201298701298701,0.5568513119533528,0.6726390375318302,0.0
ru,fold_1,title_and_5_sentences,0.023391812865497078,0.25,0.012269938650306749,0.5019625075727194,0.0
ru,fold_2,title_and_5_sentences,0.04419889502762431,0.21052631578947367,0.024691358024691357,0.5021276953611196,0.015625
ru,fold_3,title_and_5_sentences,0.14659685863874347,0.2978723404255319,0.09722222222222222,0.526669621749409,0.03125
