language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6793602437166794,0.7396351575456053,0.6281690140845071,0.7678536472071534,0.05813953488372093
en,fold_2,title_and_first_paragraph,0.6666666666666667,0.721830985915493,0.6193353474320241,0.7640556644781368,0.07017543859649122
en,fold_3,title_and_first_paragraph,0.691164972634871,0.7072,0.6758409785932722,0.7853342824000844,0.10526315789473684
fr,fold_1,title_and_first_paragraph,0.4444444444444444,0.535031847133758,0.38009049773755654,0.6419556573009259,0.02857142857142857
fr,fold_2,title_and_first_paragraph,0.4010989010989011,0.47096774193548385,0.3492822966507177,0.6214634570153719,0.05714285714285714
fr,fold_3,title_and_first_paragraph,0.43323442136498513,0.5367647058823529,0.36318407960199006,0.6418694672915373,0.056338028169014086
ge,fold_1,title_and_first_paragraph,0.5462012320328542,0.5588235294117647,0.5341365461847389,0.6760804048081407,0.03389830508474576
ge,fold_2,title_and_first_paragraph,0.5344827586206896,0.5849056603773585,0.49206349206349204,0.6693766937669378,0.0
ge,fold_3,title_and_first_paragraph,0.4732510288065844,0.5275229357798165,0.4291044776119403,0.6198831211589113,0.0
it,fold_1,title_and_first_paragraph,0.46511627906976744,0.5405405405405406,0.40816326530612246,0.6375454291305563,0.0297029702970297
it,fold_2,title_and_first_paragraph,0.44345238095238093,0.5283687943262412,0.382051282051282,0.626084234775641,0.0
it,fold_3,title_and_first_paragraph,0.4424778761061947,0.49504950495049505,0.4,0.6263715110683349,0.039603960396039604
po,fold_1,title_and_first_paragraph,0.5,0.4872611464968153,0.5134228187919463,0.6251754616835549,0.015384615384615385
po,fold_2,title_and_first_paragraph,0.5634266886326194,0.6,0.531055900621118,0.668589174800355,0.046153846153846156
po,fold_3,title_and_first_paragraph,0.5917355371900825,0.683206106870229,0.521865889212828,0.6858877366498135,0.015625
ru,fold_1,title_and_first_paragraph,0.1181818181818182,0.22807017543859648,0.07975460122699386,0.5092792477623147,0.015873015873015872
ru,fold_2,title_and_first_paragraph,0.19909502262443435,0.3728813559322034,0.13580246913580246,0.5426968748948766,0.046875
ru,fold_3,title_and_first_paragraph,0.09523809523809523,0.2,0.0625,0.507313829787234,0.015625
