language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.684458398744113,0.7730496453900709,0.6140845070422535,0.7693508518721279,0.09302325581395349
en,fold_2,title_and_first_sentence_each_paragraph,0.6589684372594302,0.6718995290423861,0.6465256797583081,0.7629279668999392,0.06432748538011696
en,fold_3,title_and_first_sentence_each_paragraph,0.6916030534351145,0.6905487804878049,0.6926605504587156,0.7879969418960244,0.08187134502923976
fr,fold_1,title_and_first_sentence_each_paragraph,0.4563380281690141,0.6044776119402985,0.3665158371040724,0.6483435575507187,0.04285714285714286
fr,fold_2,title_and_first_sentence_each_paragraph,0.5053191489361702,0.5688622754491018,0.45454545454545453,0.6805801202688363,0.1
fr,fold_3,title_and_first_sentence_each_paragraph,0.5222222222222223,0.5911949685534591,0.46766169154228854,0.6928472392137672,0.04225352112676056
ge,fold_1,title_and_first_sentence_each_paragraph,0.5228215767634856,0.5407725321888412,0.5060240963855421,0.6602910776555094,0.03389830508474576
ge,fold_2,title_and_first_sentence_each_paragraph,0.5490196078431373,0.5426356589147286,0.5555555555555556,0.6749903213317848,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.5241935483870969,0.5701754385964912,0.48507462686567165,0.6524637840210711,0.034482758620689655
it,fold_1,title_and_first_sentence_each_paragraph,0.5075862068965518,0.5525525525525525,0.46938775510204084,0.661797595750629,0.0297029702970297
it,fold_2,title_and_first_sentence_each_paragraph,0.4774535809018568,0.4945054945054945,0.46153846153846156,0.6409254807692308,0.0297029702970297
it,fold_3,title_and_first_sentence_each_paragraph,0.5279034690799396,0.6076388888888888,0.4666666666666667,0.6789541225537375,0.0297029702970297
po,fold_1,title_and_first_sentence_each_paragraph,0.5774193548387097,0.5559006211180124,0.6006711409395973,0.6835055051103215,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.6135338345864662,0.5947521865889213,0.6335403726708074,0.6985729074238392,0.0
po,fold_3,title_and_first_sentence_each_paragraph,0.5897858319604612,0.678030303030303,0.521865889212828,0.6840794183857992,0.015625
ru,fold_1,title_and_first_sentence_each_paragraph,0.20276497695852536,0.4074074074074074,0.13496932515337423,0.5452315332303728,0.031746031746031744
ru,fold_2,title_and_first_sentence_each_paragraph,0.09782608695652174,0.4090909090909091,0.05555555555555555,0.5189221919467151,0.015625
ru,fold_3,title_and_first_sentence_each_paragraph,0.1837837837837838,0.4146341463414634,0.11805555555555555,0.5430703309692672,0.015625
