language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_5_sentences,0.7055350553505534,0.7410852713178294,0.6732394366197183,0.787444217720931,0.10465116279069768
en,fold_2,title_and_5_sentences,0.6950122649223222,0.7575757575757576,0.6419939577039275,0.7817360088750585,0.08771929824561403
en,fold_3,title_and_5_sentences,0.7057877813504824,0.7440677966101695,0.6712538226299695,0.7922361067172836,0.0935672514619883
fr,fold_1,title_and_5_sentences,0.5631067961165048,0.6073298429319371,0.5248868778280543,0.7130363242895212,0.07142857142857142
fr,fold_2,title_and_5_sentences,0.5540166204986149,0.6578947368421053,0.4784688995215311,0.7055120113690665,0.1
fr,fold_3,title_and_5_sentences,0.5796344647519582,0.6098901098901099,0.5522388059701493,0.7313526942839398,0.14084507042253522
ge,fold_1,title_and_5_sentences,0.5935483870967742,0.6388888888888888,0.5542168674698795,0.7095174458666555,0.0847457627118644
ge,fold_2,title_and_5_sentences,0.6479481641468682,0.7109004739336493,0.5952380952380952,0.7444831591173054,0.11864406779661017
ge,fold_3,title_and_5_sentences,0.6067864271457085,0.6523605150214592,0.5671641791044776,0.709133560140474,0.06896551724137931
it,fold_1,title_and_5_sentences,0.5637393767705382,0.6337579617834395,0.5076530612244898,0.6975642996924798,0.06930693069306931
it,fold_2,title_and_5_sentences,0.5317919075144508,0.609271523178808,0.4717948717948718,0.678280248397436,0.07920792079207921
it,fold_3,title_and_5_sentences,0.5609065155807365,0.5981873111782477,0.528,0.6999961501443697,0.07920792079207921
po,fold_1,title_and_5_sentences,0.6449399656946827,0.6596491228070176,0.6308724832214765,0.7361878755976664,0.1076923076923077
po,fold_2,title_and_5_sentences,0.6019736842105264,0.6398601398601399,0.5683229813664596,0.6965764566696243,0.06153846153846154
po,fold_3,title_and_5_sentences,0.6506410256410257,0.7224199288256228,0.5918367346938775,0.7253939550503746,0.046875
ru,fold_1,title_and_5_sentences,0.5574912891986062,0.6451612903225806,0.49079754601226994,0.7148007201549528,0.20634920634920634
ru,fold_2,title_and_5_sentences,0.4943820224719101,0.6285714285714286,0.4074074074074074,0.6771369462105157,0.109375
ru,fold_3,title_and_5_sentences,0.5384615384615385,0.5422535211267606,0.5347222222222222,0.7241430260047282,0.09375
