language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.7149390243902439,0.7790697674418605,0.6605633802816901,0.7911179681149323,0.11627906976744186
en,fold_2,title_and_first_paragraph,0.6957928802588996,0.7491289198606271,0.649546827794562,0.7832029750982049,0.1111111111111111
en,fold_3,title_and_first_paragraph,0.7020602218700476,0.7286184210526315,0.6773700305810397,0.7912712221870716,0.12280701754385964
fr,fold_1,title_and_first_paragraph,0.5743073047858941,0.6477272727272727,0.5158371040723982,0.7170753372799408,0.05714285714285714
fr,fold_2,title_and_first_paragraph,0.5271317829457364,0.5730337078651685,0.4880382775119617,0.6947324980296515,0.02857142857142857
fr,fold_3,title_and_first_paragraph,0.5706521739130433,0.6287425149700598,0.5223880597014925,0.7221019743652481,0.11267605633802817
ge,fold_1,title_and_first_paragraph,0.6112266112266113,0.6336206896551724,0.5903614457831325,0.7215238771376667,0.1016949152542373
ge,fold_2,title_and_first_paragraph,0.6051502145922748,0.6588785046728972,0.5595238095238095,0.7161730545876888,0.05084745762711865
ge,fold_3,title_and_first_paragraph,0.610441767068273,0.6608695652173913,0.5671641791044776,0.7118909130816505,0.06896551724137931
it,fold_1,title_and_first_paragraph,0.5492957746478873,0.6132075471698113,0.49744897959183676,0.6885483645513,0.06930693069306931
it,fold_2,title_and_first_paragraph,0.5070422535211268,0.5625,0.46153846153846156,0.6624098557692308,0.0594059405940594
it,fold_3,title_and_first_paragraph,0.5499276410998554,0.6012658227848101,0.5066666666666667,0.6926981071543151,0.04950495049504951
po,fold_1,title_and_first_paragraph,0.5610200364298724,0.6135458167330677,0.5167785234899329,0.6791408957318945,0.09230769230769231
po,fold_2,title_and_first_paragraph,0.579034941763727,0.6236559139784946,0.5403726708074534,0.6809006211180124,0.06153846153846154
po,fold_3,title_and_first_paragraph,0.636085626911315,0.6688102893890675,0.6064139941690962,0.7100786064878031,0.0625
ru,fold_1,title_and_first_paragraph,0.5017921146953405,0.603448275862069,0.4294478527607362,0.6827350529450412,0.20634920634920634
ru,fold_2,title_and_first_paragraph,0.5107913669064748,0.6120689655172413,0.4382716049382716,0.6884818515154574,0.1875
ru,fold_3,title_and_first_paragraph,0.5692883895131086,0.6178861788617886,0.5277777777777778,0.7326388888888888,0.125
