language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6975683890577508,0.7574257425742574,0.6464788732394366,0.7799532175384463,0.10465116279069768
en,fold_2,title_and_first_sentence_each_paragraph,0.7066147859922178,0.7287319422150883,0.6858006042296072,0.7941127732464434,0.08771929824561403
en,fold_3,title_and_first_sentence_each_paragraph,0.6939443535188217,0.7464788732394366,0.6483180428134556,0.7827797110619003,0.11695906432748537
fr,fold_1,title_and_first_sentence_each_paragraph,0.5555555555555556,0.5958549222797928,0.5203619909502263,0.708797596265627,0.1
fr,fold_2,title_and_first_sentence_each_paragraph,0.577319587628866,0.6256983240223464,0.5358851674641149,0.7244925188812145,0.17142857142857143
fr,fold_3,title_and_first_sentence_each_paragraph,0.5839793281653747,0.6075268817204301,0.5621890547263682,0.7350667846141298,0.07042253521126761
ge,fold_1,title_and_first_sentence_each_paragraph,0.6385809312638582,0.7128712871287128,0.5783132530120482,0.7388966611680691,0.1016949152542373
ge,fold_2,title_and_first_sentence_each_paragraph,0.6616257088846882,0.631768953068592,0.6944444444444444,0.7583720480061943,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.6303030303030303,0.6872246696035242,0.582089552238806,0.7257874231782266,0.08620689655172414
it,fold_1,title_and_first_sentence_each_paragraph,0.5638148667601682,0.6261682242990654,0.5127551020408163,0.6976691361476097,0.1188118811881188
it,fold_2,title_and_first_sentence_each_paragraph,0.5485122897800776,0.5535248041775457,0.5435897435897435,0.6882987780448717,0.039603960396039604
it,fold_3,title_and_first_sentence_each_paragraph,0.5705882352941176,0.6360655737704918,0.5173333333333333,0.7052499197946743,0.06930693069306931
po,fold_1,title_and_first_sentence_each_paragraph,0.6397188049209138,0.6715867158671587,0.610738255033557,0.7326567092161249,0.09230769230769231
po,fold_2,title_and_first_sentence_each_paragraph,0.6395173453996984,0.6217008797653959,0.6583850931677019,0.7194986690328306,0.03076923076923077
po,fold_3,title_and_first_sentence_each_paragraph,0.6677367576243981,0.7428571428571429,0.6064139941690962,0.7381075395800274,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.4878048780487805,0.5645161290322581,0.4294478527607362,0.6771717706084627,0.12698412698412698
ru,fold_2,title_and_first_sentence_each_paragraph,0.5088339222614842,0.5950413223140496,0.4444444444444444,0.6888434756282167,0.109375
ru,fold_3,title_and_first_sentence_each_paragraph,0.5543071161048689,0.6016260162601627,0.5138888888888888,0.7243646572104019,0.140625
