language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6708860759493671,0.7653429602888087,0.5971830985915493,0.7603112194960103,0.09883720930232558
en,fold_2,title,0.6552845528455284,0.7095070422535211,0.6087613293051359,0.7567478701952931,0.10526315789473684
en,fold_3,title,0.6589211618257261,0.720508166969147,0.6070336391437309,0.759263946008647,0.08771929824561403
fr,fold_1,title,0.520618556701031,0.6047904191616766,0.45701357466063347,0.6850285264607515,0.04285714285714286
fr,fold_2,title,0.48467966573816157,0.58,0.41626794258373206,0.6672779401634613,0.1
fr,fold_3,title,0.5126760563380282,0.5909090909090909,0.4527363184079602,0.6866455866945224,0.07042253521126761
ge,fold_1,title,0.5362637362637361,0.5922330097087378,0.4899598393574297,0.6721896250513318,0.03389830508474576
ge,fold_2,title,0.570194384449244,0.6255924170616114,0.5238095238095238,0.6930894308943089,0.01694915254237288
ge,fold_3,title,0.5524625267665952,0.6482412060301508,0.48134328358208955,0.6763334064969272,0.05172413793103448
it,fold_1,title,0.5444287729196051,0.6088328075709779,0.4923469387755102,0.6855081073525301,0.06930693069306931
it,fold_2,title,0.4631578947368421,0.56,0.39487179487179486,0.6383538661858974,0.039603960396039604
it,fold_3,title,0.47779479326186824,0.5611510791366906,0.416,0.6492897016361886,0.07920792079207921
po,fold_1,title,0.5411764705882353,0.5420875420875421,0.540268456375839,0.6590231170768084,0.046153846153846156
po,fold_2,title,0.5714285714285714,0.5844155844155844,0.5590062111801242,0.6706595681750961,0.03076923076923077
po,fold_3,title,0.606896551724138,0.7426160337552743,0.5131195335276968,0.7014060597114071,0.03125
ru,fold_1,title,0.4982206405693951,0.5932203389830508,0.4294478527607362,0.6813442323608966,0.1746031746031746
ru,fold_2,title,0.44999999999999996,0.5338983050847458,0.3888888888888889,0.6569785043899485,0.09375
ru,fold_3,title,0.44725738396624476,0.5698924731182796,0.3680555555555556,0.6574320330969268,0.078125
